"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2IgM9TTSJKTqyYYZvXGcip","Allimalar Kaavil","spotify:artist:5L0RbvV13JHcxpbO7LxVAp, spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Radhakrishnan, M. G. Sreekumar","spotify:album:3qjvorxtHHiDxjTlT8tv2Y","Mithunam (Original Motion Picture Soundtrack)","spotify:artist:5L0RbvV13JHcxpbO7LxVAp","M. G. Radhakrishnan","1993-03-12","https://i.scdn.co/image/ab67616d0000b27385f537b6e8246eda15f5c83c","1","2","260160","https://p.scdn.co/mp3-preview/efcc60bdc38d82d3bcea9abe2f29fff2926d86b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","INM129300123","spotify:user:","2022-06-10T12:30:58Z"
"spotify:track:7LuKHc2ATkbQNl69XJoRJQ","Palavattam Pookkaalam","spotify:artist:5L0RbvV13JHcxpbO7LxVAp, spotify:artist:2wPsNCwhEGb0KvChZ5DD52","M. G. Radhakrishnan, K. J. Yesudas","spotify:album:65WTiF40GUNJdRbtQNUDJV","Manichitrathazhu","spotify:artist:5L0RbvV13JHcxpbO7LxVAp","M. G. Radhakrishnan","1993-12-24","https://i.scdn.co/image/ab67616d0000b2734b967c98a801e4e4d6058215","1","5","115717","https://p.scdn.co/mp3-preview/dca762734801e03e723d75604bb40fc064cdba19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","SM3202402084","spotify:user:","2024-02-16T10:17:36Z"
"spotify:track:5E3EtlH3wbDG6hxgGbkC7U","Aavani Ponnoonjal","spotify:artist:3uQBcMAZ33N43NKdFHV1JL","Sreekumar","spotify:album:0MgTDjlVhJZccZiNPO0k5X","Kottaram Veettile Appoottan (Original Motion Picture Soundtrack)","spotify:artist:5OGCE2EYirQYgUowIRyDyT","Berny Ignatious","1999-06-10","https://i.scdn.co/image/ab67616d0000b273bd8d61f4ab241f95e88d0307","1","1","264840","https://p.scdn.co/mp3-preview/5e99958533a6396a7d47327a26d2f65b057e368f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","INM259907686","spotify:user:","2022-06-10T12:49:01Z"
"spotify:track:3rZphn9fKKz4iFpeX08XUF","Attirambile Kombile","spotify:artist:3m49WVMU4zCkaVEKb8kFW7, spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:2IUtwMti1OiT3lkW6RubgH","Ilaiyaraaja, M. G. Sreekumar, K. S. Chithra","spotify:album:5mtwCVvdF1mXFsScFIcCkl","Kaalapani (Original Motion Picture Soundtrack)","spotify:artist:3m49WVMU4zCkaVEKb8kFW7","Ilaiyaraaja","1996-04-01","https://i.scdn.co/image/ab67616d0000b2737111b19943dff60ac815df5b","1","1","344608","https://p.scdn.co/mp3-preview/dfbfeaa0193c36e4df5abb1e8cd395bb983d53eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","INS172203489","spotify:user:","2022-09-13T10:51:08Z"
"spotify:track:0mo1mIhlaJUEa4H5UB3JLi","Melleyen Kannile - Female Version","spotify:artist:3HAPyg4Ovz87tOZowd7WZH, spotify:artist:2IUtwMti1OiT3lkW6RubgH","Johnson, K. S. Chithra","spotify:album:2G8vbYjx3cGZPCDw6zB4xp","Kusruthi Kuruppu","spotify:artist:3HAPyg4Ovz87tOZowd7WZH","Johnson","1998-01-29","https://i.scdn.co/image/ab67616d0000b2738cfecb67eb4865de1a82429d","1","3","261157","https://p.scdn.co/mp3-preview/3bf8a1abc4e606b05517a271f5b3ac413e5dd260?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","SM3202402037","spotify:user:","2024-02-16T10:24:02Z"
"spotify:track:2tXyYsTEgNtQdt2zkzhU2x","Maliniyude Theerangal","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:2JEjaa7hWhE1BbL3OcoeFR","M. G. Sreekumar, Sujatha","spotify:album:0aO5hqSlc7hIzK61d4X72u","Gandharvam","spotify:artist:5qmCA012x0phMiytouYPqt","S. P. Venkatesh","2014-08-01","https://i.scdn.co/image/ab67616d0000b2730c0f11ab96fd388c46b7c3db","1","5","262556","https://p.scdn.co/mp3-preview/679f0faf2ab83dd8ff6b88ea55a57808d79380db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","INS181407244","spotify:user:","2023-01-20T11:13:20Z"
"spotify:track:4BylBnuSYjNAAN93nMyJ5n","Paathiramazhayetho - Male Version","spotify:artist:5wq0asvXF4jyJs8ydPPFzR, spotify:artist:2wPsNCwhEGb0KvChZ5DD52","Ouseppachan, K. J. Yesudas","spotify:album:0P76Nb6SdY9Zgp11lTdY3I","Ulladakkam (Original Motion Picture Soundtrack)","spotify:artist:5wq0asvXF4jyJs8ydPPFzR","Ouseppachan","1991-09-16","https://i.scdn.co/image/ab67616d0000b2733dd2f2afaad6772ae862aab4","1","5","259403","https://p.scdn.co/mp3-preview/b747ee099a002f2cd2f0af1616a415aa29f49ed4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","IND292205562","spotify:user:","2022-06-13T05:49:00Z"
"spotify:track:6pyZJZ8uPw2oqjhtxu5at4","Oru Raathri Koodi","spotify:artist:5TB837uKG65w8Jnz5D0bS5, spotify:artist:2wPsNCwhEGb0KvChZ5DD52, spotify:artist:2IUtwMti1OiT3lkW6RubgH","Vidyasagar, K. J. Yesudas, K. S. Chithra","spotify:album:4IYtV0d3LcYIsqQ6CMxgLj","Oru Raathri Koodi","spotify:artist:5TB837uKG65w8Jnz5D0bS5, spotify:artist:2wPsNCwhEGb0KvChZ5DD52, spotify:artist:2IUtwMti1OiT3lkW6RubgH","Vidyasagar, K. J. Yesudas, K. S. Chithra","2003","https://i.scdn.co/image/ab67616d0000b2731156a7547a37c6f7f3f4a530","1","1","321613","https://p.scdn.co/mp3-preview/689af5aa13e888afcc0020c7173aab70e37a2d1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","INS320300939","spotify:user:","2022-06-13T05:49:00Z"
"spotify:track:0SLYQqw110CllnuYFCfAH6","Njaattu Velakkiliye - Version, 1","spotify:artist:5L0RbvV13JHcxpbO7LxVAp, spotify:artist:2IUtwMti1OiT3lkW6RubgH","M. G. Radhakrishnan, K. S. Chithra","spotify:album:3qjvorxtHHiDxjTlT8tv2Y","Mithunam (Original Motion Picture Soundtrack)","spotify:artist:5L0RbvV13JHcxpbO7LxVAp","M. G. Radhakrishnan","1993-03-12","https://i.scdn.co/image/ab67616d0000b27385f537b6e8246eda15f5c83c","1","1","232466","https://p.scdn.co/mp3-preview/6ecbca8d4565bf2f2c80b190b7b4b510671096fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","INM129300122","spotify:user:","2022-06-10T12:30:58Z"
"spotify:track:2ctFNPe7IztxUfggtijX85","Sreeragamo (From ""Pavithram"")","spotify:artist:2wPsNCwhEGb0KvChZ5DD52","K. J. Yesudas","spotify:album:12qDAZxNE59PiGtYb3z9Rm","Sauparnika","spotify:artist:2wPsNCwhEGb0KvChZ5DD52","K. J. Yesudas","2001-05-13","https://i.scdn.co/image/ab67616d0000b273f1c52826f557dabc1b89c4dc","1","8","276200","https://p.scdn.co/mp3-preview/85eaa17b61a382ab8e11d7e29f2f9f06e06a845b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","INM120100643","spotify:user:","2023-08-28T08:58:55Z"
