"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:79jYT83v4bMOWEgwjQxSx2","Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Pritam, Arijit Singh","spotify:album:5G7pAy1rJRhSvzwPbPvMAo","Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Pritam, Arijit Singh","2016-10-26","https://i.scdn.co/image/ab67616d0000b273c8e96da2669b5d51ee36205a","1","1","269032","https://p.scdn.co/mp3-preview/3d71886b5707bb5d7d87303a37077d423e0ab8b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","INS171602089","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2024-07-08T22:53:07Z"
"spotify:track:0CVfovmUv7BnemOyTtOcbL","Sanam Re","spotify:artist:09UmIX92EUH9hAK4bxvHx6, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Mithoon, Arijit Singh","spotify:album:5xP2I1UDXhE7D4GpMOoZY9","Sanam Re","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-01-04","https://i.scdn.co/image/ab67616d0000b273be42c9c9b63ed5ace22af441","1","1","308714","https://p.scdn.co/mp3-preview/bfd6842edbf6b57af93848cbf1ed7b29b499a923?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","INS181502139","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2024-07-08T22:53:16Z"
"spotify:track:7emLx4rVwr0tPyjktu7A7U","Deewangi Deewangi","spotify:artist:5cB4d4jPYjMT326sjihQ4m, spotify:artist:70B80Lwx2sxti0M1Ng9e8K, spotify:artist:0oOet2f43PA68X5RxKobEy, spotify:artist:3eDT9fwXKuHWFvgZaaYC5v, spotify:artist:0uwp0t2eE8qxCatuNX23ch","Shaan, Udit Narayan, Shreya Ghoshal, Sunidhi Chauhan, Rahul Saxena","spotify:album:2cUzlmLfL5LUTSEk7qG09k","Om Shanti Om","spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb","Vishal-Shekhar","2007-09-18","https://i.scdn.co/image/ab67616d0000b273675b3f7dea80153c73581e5e","1","3","352388","https://p.scdn.co/mp3-preview/3e049d90930e71a045bebcbd0f87910aa18b736f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","INS180705750","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2024-07-12T12:52:25Z"
"spotify:track:0biCSADTAblvLTLtJz4pXO","Nashe Si Chadh Gayi","spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb, spotify:artist:4YRxDV8wJFPHPTeXepOstw, spotify:artist:2Yf4MRVpt0rcAd5y5h5ph1, spotify:artist:5kPOMQZvgkAEnRZqwn9SYQ","Vishal-Shekhar, Arijit Singh, Caralisa Monteiro, Jaideep Sahni","spotify:album:2NdNeBKi8ctKgKRH5UGRbO","Befikre","spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb","Vishal-Shekhar","2016-12-01","https://i.scdn.co/image/ab67616d0000b273f5dc36d5000145375a41c3b8","1","1","237875","https://p.scdn.co/mp3-preview/771c8fd04c01ba6c7f519f4baf97974c00b3a2aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","INY091600067","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2024-07-12T12:52:38Z"
"spotify:track:3XWBGyt7m2rZAjEj0awWnw","Sanam Re (From ""Sanam Re"")","spotify:artist:09UmIX92EUH9hAK4bxvHx6, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Mithoon, Arijit Singh","spotify:album:5Wm1nhxZqx7i0Hp6ZBqe9T","Love Forever With Arijit Singh","spotify:artist:4YRxDV8wJFPHPTeXepOstw","Arijit Singh","2017-06-07","https://i.scdn.co/image/ab67616d0000b2737569cbe3695608074d9fd389","1","20","308714","https://p.scdn.co/mp3-preview/bfd6842edbf6b57af93848cbf1ed7b29b499a923?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","INS181502139","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2024-07-12T12:52:48Z"
"spotify:track:7H3mfOvtPNA8YDF3EdKy0L","Tum Hi Ho Bandhu","spotify:artist:3tHD07u1ON4uHxmnT9rwqZ, spotify:artist:3nQ125TJobosBH446Dsvvv, spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Neeraj Shridhar, Kavita Seth, Pritam","spotify:album:1y5h6GBXEgFjBDHThikj1w","Cocktail (Original Motion Picture Soundtrack)","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2012-06-15","https://i.scdn.co/image/ab67616d0000b273ad204486839062991becfbc9","1","1","283693","https://p.scdn.co/mp3-preview/5a3d32b02ecd1cc159163ae1ea1d86f379b334b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBSGZ1200008","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2024-07-12T12:52:57Z"
"spotify:track:72CkpVdvmc8t28o8I9N32J","Tere Sang Yaara","spotify:artist:2oSONSC9zQ4UonDKnLqksx, spotify:artist:4cAERazLlAzVGA10ORWaUP","Atif Aslam, Manoj Muntashir","spotify:album:78QGeq3kPu6bBNpYXUAR60","Rustom (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-07-15","https://i.scdn.co/image/ab67616d0000b2733a2753349e18d67b45e5b24d","1","1","286380","","false","71","INZ031401497","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2024-07-12T12:53:04Z"
"spotify:track:0EH7sgeiFqDa3eS7ieW2zs","Chammak Challo","spotify:artist:0z4gvV4rjIZ9wHck67ucSV, spotify:artist:35jsUTwBj5cW9GuNB7Xp61","Akon, Hamsika Iyer","spotify:album:5x2eTJrbEvmOTEcWWWubLy","Ra-One","spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb","Vishal-Shekhar","2011-09-16","https://i.scdn.co/image/ab67616d0000b27344aa56e23e3a89802e6c6347","1","1","227091","https://p.scdn.co/mp3-preview/c5365b3beb05c0187c83d3948d203c61d0b8d90d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","INS181103370","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2024-07-20T04:41:51Z"
"spotify:track:3H43T5swYywvcdCBFiDgW6","Manwa Laage","spotify:artist:0oOet2f43PA68X5RxKobEy, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Shreya Ghoshal, Arijit Singh","spotify:album:5EBunNGKdU980idkTYY5WA","Happy New Year","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-09-26","https://i.scdn.co/image/ab67616d0000b273295f7adceff63a32bbcf95f2","1","2","272082","https://p.scdn.co/mp3-preview/fa23ad2aae550323e6af4896b1a87aec8bd82dfb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","INS181402147","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2024-08-27T23:00:18Z"
"spotify:track:5cgKosPPj5Cs9a2JQufUc1","Ilahi","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Pritam, Arijit Singh","spotify:album:2Lxoc72vRTGdQfMvj7Ovi1","Yeh Jawaani Hai Deewani","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2013-03-30","https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4","1","3","228982","https://p.scdn.co/mp3-preview/f370312842334fb48cd7ac346f2c63f8fe603eac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","INS181303779","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2024-09-07T01:39:30Z"
"spotify:track:18e3XXYCv4Tx8uUl1mP3CN","Balam Pichkari","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:6CXEwIaXYfVJ84biCxqc9k, spotify:artist:6uskWv5K2FA0YOAYr7JOUz","Pritam, Vishal Dadlani, Shalmali Kholgade","spotify:album:2Lxoc72vRTGdQfMvj7Ovi1","Yeh Jawaani Hai Deewani","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2013-03-30","https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4","1","2","288902","https://p.scdn.co/mp3-preview/2e7580a270e7bd249e8bba3f343666b497715c93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","INS181303493","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2024-09-07T01:40:08Z"
