"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1VQfrKbnGSZnEFoGpfVnS8","Heart of Gold","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","spotify:album:1cMeCtprtHWW2XytkPUthL","Heart of Gold","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","2024-11-01","https://i.scdn.co/image/ab67616d0000b273e3cce1af380512198244c872","1","1","171607","","false","66","USUM72408549","spotify:user:","2024-11-22T18:22:36Z"
"spotify:track:7ne4VBA60CxGM75vw0EYad","That’s So True","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","spotify:album:0hBRqPYPXhr1RkTDG3n4Mk","The Secret of Us (Deluxe)","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","2024-10-18","https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf","1","15","166300","","true","93","USUG12406903","spotify:user:","2024-11-22T18:22:36Z"
"spotify:track:45J4avUb9Ni0bnETYaYFVJ","luther","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:0hvT3yIEysuuvkK73vgdcW","GNX","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2024-11-22","https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58","1","3","177598","","false","0","USUG12408496","spotify:user:","2024-11-22T18:22:36Z"
"spotify:track:3ai1kBVQF9GusoxIdgBrjz","Quitter","spotify:artist:6dhXvR5MsnlwYguRuqoapR","Cameron Whitcomb","spotify:album:23tD5uyi8NdGSKR8OsuU5t","Quitter","spotify:artist:6dhXvR5MsnlwYguRuqoapR","Cameron Whitcomb","2024-09-27","https://i.scdn.co/image/ab67616d0000b2735889fa036bf8203379d4297d","1","5","161285","https://p.scdn.co/mp3-preview/1edd06bed53a8563701d05f6de9ea3d4117ea52b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USAT22406351","spotify:user:","2024-11-22T18:22:36Z"
"spotify:track:1f18HzFpegqvH4ibGJyeMJ","2 hands","spotify:artist:45dkTj5sMRSjrmBSBeiHym","Tate McRae","spotify:album:2BdJwrx2wMJi7x06wWkUFg","2 hands","spotify:artist:45dkTj5sMRSjrmBSBeiHym","Tate McRae","2024-11-14","https://i.scdn.co/image/ab67616d0000b2733b53b3afd0c28613b964769e","1","1","181820","https://p.scdn.co/mp3-preview/76cc732f5eb47cf5d6f3edc2da1f2a62160668de?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USRC12403001","spotify:user:","2024-11-22T18:22:36Z"
"spotify:track:7hR22TOX3RorxJPcsz5Wbo","Love Somebody","spotify:artist:4oUHIQIBe0LHzYfvXNW4QM","Morgan Wallen","spotify:album:0TxewlKVKdpP18dGg279ep","Love Somebody","spotify:artist:4oUHIQIBe0LHzYfvXNW4QM","Morgan Wallen","2024-10-18","https://i.scdn.co/image/ab67616d0000b2734b86223903ecefaa8df576a4","1","1","204828","","false","86","USUG12406387","spotify:user:","2024-11-22T18:22:36Z"
"spotify:track:6gH1UKDAhWS6qXzKXB4wuY","Hello Miss Johnson","spotify:artist:2LIk90788K0zvyj2JJVwkJ","Jack Harlow","spotify:album:3MJGcgbroIjiO90yi7RMhy","Hello Miss Johnson","spotify:artist:2LIk90788K0zvyj2JJVwkJ","Jack Harlow","2024-11-21","https://i.scdn.co/image/ab67616d0000b2738ad20aef4c717994ec4ede86","1","1","164747","https://p.scdn.co/mp3-preview/974d864bc3120967cd1730754174672bafabaf2c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USAT22406895","spotify:user:","2024-11-22T18:22:36Z"
"spotify:track:7gxQXemQ5MBeK9PUrKRtfV","Burning Down","spotify:artist:0fTSzq9jAh4c36UVb4V7CB","Alex Warren","spotify:album:1v9bkQK8p2Za27mavQqu1V","Burning Down","spotify:artist:0fTSzq9jAh4c36UVb4V7CB","Alex Warren","2024-09-20","https://i.scdn.co/image/ab67616d0000b27380fd7741b86bdcc9940f90a8","1","1","179437","https://p.scdn.co/mp3-preview/d11468eaa1af8b53a6745b8a7efba2b5f10b5943?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USAT22408615","spotify:user:","2024-11-22T18:22:36Z"
"spotify:track:0xGQTpN4ESETtl1Sp6rzd2","São Paulo (feat. Anitta)","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:7FNnA9vBm6EKceENgCGRMb","The Weeknd, Anitta","spotify:album:44MHvpU3h9Wp6SxhsC9GOK","São Paulo","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:7FNnA9vBm6EKceENgCGRMb","The Weeknd, Anitta","2024-10-31","https://i.scdn.co/image/ab67616d0000b273935a1712f56a9ee9d51ffd6e","1","1","301623","","true","86","USUG12405846","spotify:user:","2024-11-22T18:22:36Z"
"spotify:track:3nHuKdFJZm78CoeBnDcFKe","Bad Dreams","spotify:artist:33qOK5uJ8AR2xuQQAhHump","Teddy Swims","spotify:album:2VxQFEEnhwiV5LpMuHKViR","Bad Dreams","spotify:artist:33qOK5uJ8AR2xuQQAhHump","Teddy Swims","2024-09-13","https://i.scdn.co/image/ab67616d0000b273de4b0388cb6e5267132a07bc","1","1","184577","https://p.scdn.co/mp3-preview/39ac5b03d9a95c44b85b35dbbcea87a491df2187?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USWB12403749","spotify:user:","2024-11-22T18:22:36Z"
