"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:08QaHlMPWuO5PUxjl61bXn","He's a Pirate","spotify:artist:03GruNQP8X25PCoWzdvIGZ","Klaus Badelt","spotify:album:4Qe057XqKloVNhnPohj6Yo","Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack)","spotify:artist:03GruNQP8X25PCoWzdvIGZ","Klaus Badelt","2003-07-22","https://i.scdn.co/image/ab67616d0000b27338786c7492ac252797bb2648","1","15","90426","","false","64","USWD10321341","","2024-11-10T00:43:33Z"
"spotify:track:0juMU08O9byWiRBtKM1j5E","Circle of Life/Nants' Ingonyama","spotify:artist:5klp9VmF0Os0ytBwXBy8Tf, spotify:artist:0zp9qNDSeYi3QEodhcKAAA","Lindiwe Mkhize, Lebo M.","spotify:album:7e8y48Z2fkJNGBOKSECCeS","The Lion King (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2019-07-11","https://i.scdn.co/image/ab67616d0000b2736eb04fff9fd19fd8f65b86e1","1","1","241800","","false","54","USWD11993785","","2024-11-10T00:39:37Z"
"spotify:track:5pD9x23lsoQr464mlmaKNJ","Chained To The Rhythm","spotify:artist:6jJ0s89eD6GaHleKKya26X, spotify:artist:4ryoUS0W8qXokfMxrlJt6O","Katy Perry, Skip Marley","spotify:album:1eKkyO5UKGXBfbgatavAFR","Chained To The Rhythm","spotify:artist:6jJ0s89eD6GaHleKKya26X","Katy Perry","2017-02-10","https://i.scdn.co/image/ab67616d0000b27391ce1af04bf6e894879784f4","1","1","237915","","false","0","USUM71700560","","2024-11-09T23:13:22Z"
"spotify:track:48lxT5qJF0yYyf2z4wB4xW","Pedro","spotify:artist:1c3uso4iIeeX3P0bhKaQDq, spotify:artist:124jbwgd8Hh6LW7jAqTa8r, spotify:artist:6EVyI0S0b1Ld2nm37m5x85","Jaxomy, Agatino Romero, Raffaella Carrà","spotify:album:5y6RXjI5VPR0RyInghTbf1","Pedro","spotify:artist:1c3uso4iIeeX3P0bhKaQDq, spotify:artist:124jbwgd8Hh6LW7jAqTa8r, spotify:artist:6EVyI0S0b1Ld2nm37m5x85","Jaxomy, Agatino Romero, Raffaella Carrà","2024-03-29","https://i.scdn.co/image/ab67616d0000b273df8680015ddf76e5c444849f","1","1","144846","https://p.scdn.co/mp3-preview/ab61513ea36dccfabe595028e7a0ebecf553f77f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","DEE862400427","","2024-09-22T01:24:47Z"
"spotify:track:14zJH1D1PjJClkEUTAPWjn","Entammede Jimikki Kammal","spotify:artist:42k1aOQmLqy5YQmqJ2zq8s, spotify:artist:2uocTdMBXjTsS7QmAj7src, spotify:artist:0gwiu2YjENIc80Dw6iaswA","Shaan Rahman, Vineeth Sreenivasan, Renjith Unni","spotify:album:4yZUcAnisxtAwxRc71djKQ","Velipadinte Pusthakam (Original Motion Picture Soundtrack)","spotify:artist:42k1aOQmLqy5YQmqJ2zq8s","Shaan Rahman","2017-08-06","https://i.scdn.co/image/ab67616d0000b273c7d338f6b9dbe2d169410a84","1","1","201600","https://p.scdn.co/mp3-preview/052577900ee0e1c9ff3561b32db983c2aaeb7e54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","INS321705029","","2024-07-20T04:40:05Z"
"spotify:track:0biCSADTAblvLTLtJz4pXO","Nashe Si Chadh Gayi","spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb, spotify:artist:4YRxDV8wJFPHPTeXepOstw, spotify:artist:2Yf4MRVpt0rcAd5y5h5ph1, spotify:artist:5kPOMQZvgkAEnRZqwn9SYQ","Vishal-Shekhar, Arijit Singh, Caralisa Monteiro, Jaideep Sahni","spotify:album:2NdNeBKi8ctKgKRH5UGRbO","Befikre","spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb","Vishal-Shekhar","2016-12-01","https://i.scdn.co/image/ab67616d0000b273f5dc36d5000145375a41c3b8","1","1","237875","https://p.scdn.co/mp3-preview/771c8fd04c01ba6c7f519f4baf97974c00b3a2aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","INY091600067","","2024-07-12T12:52:28Z"
"spotify:track:7emLx4rVwr0tPyjktu7A7U","Deewangi Deewangi","spotify:artist:5cB4d4jPYjMT326sjihQ4m, spotify:artist:70B80Lwx2sxti0M1Ng9e8K, spotify:artist:0oOet2f43PA68X5RxKobEy, spotify:artist:3eDT9fwXKuHWFvgZaaYC5v, spotify:artist:0uwp0t2eE8qxCatuNX23ch","Shaan, Udit Narayan, Shreya Ghoshal, Sunidhi Chauhan, Rahul Saxena","spotify:album:2cUzlmLfL5LUTSEk7qG09k","Om Shanti Om","spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb","Vishal-Shekhar","2007-09-18","https://i.scdn.co/image/ab67616d0000b273675b3f7dea80153c73581e5e","1","3","352388","https://p.scdn.co/mp3-preview/3e049d90930e71a045bebcbd0f87910aa18b736f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","INS180705750","","2024-07-12T12:52:18Z"
"spotify:track:6WwyJN6PQ0ptirc0dU4RZM","Poomaram","spotify:artist:0rRhddei9JKXd5aAbCPfPN","Faisal Razi","spotify:album:7CJI4qxXqPOccyJGmmHFgs","Poomaram","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-11-21","https://i.scdn.co/image/ab67616d0000b273b432edd83ea14d30a209b13d","1","1","203180","https://p.scdn.co/mp3-preview/6224b3d18cf850b1f78dd4501e915fdc4bf87e5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","INM811458245","","2024-06-23T03:42:22Z"
"spotify:track:459ybAhLo329txQy9NBIqF","Thiruvaavaniraavu - From ""Jacobinte Swargarajyam""","spotify:artist:42k1aOQmLqy5YQmqJ2zq8s, spotify:artist:1EYD74wB45dOQXt27hh144, spotify:artist:6fvMFyB3RMPEyKyLJAS79c, spotify:artist:6KepfgxU9OD3UJ7g9t0rAP, spotify:artist:2Ac7n5L5b7LMXonUHZRrWy","Shaan Rahman, Unni Menon, Sithara Krishnakumar, Meera Scharma, Manu Manjith","spotify:album:4XxfZW3PEKRIgeKhPqmPzX","Jacobinte Swargarajyam","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-03-07","https://i.scdn.co/image/ab67616d0000b27316100f20b1ede5b4272102bd","1","3","241333","https://p.scdn.co/mp3-preview/5e47787381f775c8b6481783e1d9fb89adb75724?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","INM811457810","","2024-06-23T03:40:33Z"
"spotify:track:4LWAiMprgEypyJcUUOxeld","Somebody's Me","spotify:artist:7qG3b048QCHVRO5Pv1T5lw","Enrique Iglesias","spotify:album:2MoRlkkEUNMtOGKn6OJTLi","Insomniac","spotify:artist:7qG3b048QCHVRO5Pv1T5lw","Enrique Iglesias","2007-01-01","https://i.scdn.co/image/ab67616d0000b27305a6cbc1f2a0e36b818f1351","1","4","238466","","false","34","USUM70734410","","2024-05-08T22:07:24Z"
