"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4u8HbTDmcEkKxytdBF0yAU","Ente Ellaamellaamalle","spotify:artist:5TB837uKG65w8Jnz5D0bS5, spotify:artist:2wPsNCwhEGb0KvChZ5DD52, spotify:artist:2JEjaa7hWhE1BbL3OcoeFR","Vidyasagar, K. J. Yesudas, Sujatha","spotify:album:2ycqoKjGUHJdvt6bSvTx5x","Meesa Madhavan (Original Motion Picture Soundtrack)","spotify:artist:5TB837uKG65w8Jnz5D0bS5","Vidyasagar","2002-04-07","https://i.scdn.co/image/ab67616d0000b273960dc073bcaa9de82c43dcc9","1","3","329116","https://p.scdn.co/mp3-preview/f6e368493420bf1e93035248927506dcc553618a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","IND292204798","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:00:34Z"
"spotify:track:5S5gzOqrNL2op04EFw9AL7","Walking In The Moonlight","spotify:artist:5TB837uKG65w8Jnz5D0bS5, spotify:artist:2NoJ7NuNs9nyj8Thoh1kbu","Vidyasagar, Hariharan","spotify:album:3pLTff9Htexnb2euJxvSP8","Sathyam Sivam Sundaram (Original Motion Picture Soundtrack)","spotify:artist:5TB837uKG65w8Jnz5D0bS5","Vidyasagar","2000","https://i.scdn.co/image/ab67616d0000b273bee27064fcdac5831ed2a67f","1","1","336118","https://p.scdn.co/mp3-preview/e61dc94bbfeb7e8734569c90d258ad8abb171c60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","INS172202369","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:01:54Z"
"spotify:track:0HTxHSvH8Gd8m75eY1Zf2q","Nilamalare","spotify:artist:4xhaMczwBV4FBeTAxr6I7O","Nivas","spotify:album:2lBt67KhK80ngsZtkBS4kf","Diamond Necklace (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-07-30","https://i.scdn.co/image/ab67616d0000b273826c6569d707f0d1cf38fd71","1","2","254119","https://p.scdn.co/mp3-preview/6caeb766e3c4673cb0642574e8598423da52f6ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","INS321204261","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:02:50Z"
"spotify:track:0bgcaIBU31ClGeAancgyIx","Pon Veene","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:2IUtwMti1OiT3lkW6RubgH","M. G. Sreekumar, K. S. Chithra","spotify:album:7KjeQggj5YL2ECTNjCSQf0","Thalavattam (Original Motion Picture Soundtrack)","spotify:artist:6i4vvhzZPoxbCVGHOZePP2","Raghukumar","1986-09-10","https://i.scdn.co/image/ab67616d0000b273fe4ca8cec931cb5bd8987c5a","1","4","290795","https://p.scdn.co/mp3-preview/a5d5b36e0623b4410da7bfd956b8b93b81a22cbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","INM258617829","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:2IgM9TTSJKTqyYYZvXGcip","Allimalar Kaavil","spotify:artist:5L0RbvV13JHcxpbO7LxVAp, spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Radhakrishnan, M. G. Sreekumar","spotify:album:3qjvorxtHHiDxjTlT8tv2Y","Mithunam (Original Motion Picture Soundtrack)","spotify:artist:5L0RbvV13JHcxpbO7LxVAp","M. G. Radhakrishnan","1993-03-12","https://i.scdn.co/image/ab67616d0000b27385f537b6e8246eda15f5c83c","1","2","260160","https://p.scdn.co/mp3-preview/efcc60bdc38d82d3bcea9abe2f29fff2926d86b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","INM129300123","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:5eemBYZ98iWurQQl7Xd7Rk","Chinkaarakkinaram (From ''Minnaaram'')","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:2IUtwMti1OiT3lkW6RubgH","M. G. Sreekumar, K. S. Chithra","spotify:album:6NYGuHR3iA58s2p2YMkmj3","M. G. Sreekumar Birthday Special","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","2015-05-15","https://i.scdn.co/image/ab67616d0000b2732625df944ad1d01ab6bdd816","1","4","272404","","false","0","INM251517061","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:5dW4zCv6YjtnbUtL3ZNLVE","Thakilu Pukilu (From ""Ravanaprabhu"")","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:0PMtbt9jIICULQus8YZXwc, spotify:artist:3V48iA0R5M36C86h0NXkn4, spotify:artist:2JEjaa7hWhE1BbL3OcoeFR, spotify:artist:3OgkziO2oXSmPUkplzHvrF","M. G. Sreekumar, Prabhakaran, Mohanlal, Sujatha, Radhika Thilak","spotify:album:1qn9HDJW4jSaTDV8QIpBMR","Mohanlal - M. G. Sreekumar Hits","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","2015-05-11","https://i.scdn.co/image/ab67616d0000b2732eb939f7051d77e57a8493a0","1","5","342181","https://p.scdn.co/mp3-preview/b2aa9bbfc6f4cd4c1024123d1e7201e4ccd1ce6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","INE130300169","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:6kmll1rtA5R6T4t4cJiAZG","Velmuruka","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","spotify:album:7tJsAcdrBdieTTM9RJxMYU","Evergreen M G Sreekumar","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:1rdQOMFFtoskDXXUVjiGo9, spotify:artist:2IUtwMti1OiT3lkW6RubgH","M. G. Sreekumar, Shweta Mohan, K. S. Chithra","2018-09-03","https://i.scdn.co/image/ab67616d0000b2736775f54835e92c2da5e3982b","1","1","326000","https://p.scdn.co/mp3-preview/df66632978b5447c439758a729ca336761aec522?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","INM200700034","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:2PXKhzJJS0Qii5rqdvuZrK","Panineer Chandrike","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","spotify:album:1TdX9XlzgFIIw60acKqWGp","Kilukkam","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-12-13","https://i.scdn.co/image/ab67616d0000b273d6187241ec587d853b4afef3","1","3","302915","https://p.scdn.co/mp3-preview/5b233487c03274df44731a3fdeacf7376124b0bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","INS181205054","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:0mNIiejrB7hCEtlHyb4v2V","Nilave Maayumo (From ''Minnaram'')","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","spotify:album:2qMel8LZEybHed2B6DTIVf","Mohanlal Birthday Special","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2015-05-14","https://i.scdn.co/image/ab67616d0000b273c6164bce97609dafe1f4c2f2","1","14","300303","","false","0","INM251517007","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:7poL5NdodBSYMhT8TxtGBo","Aavani Ponnoonjal","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","spotify:album:6kWFThXUfS2I7Zfji29FBs","Kottaram Veettile Appoottan (Original Motion Picture Soundtrack)","spotify:artist:5OGCE2EYirQYgUowIRyDyT","Berny Ignatious","1999-05-01","https://i.scdn.co/image/ab67616d0000b273c64c117e7e53be9adb213161","1","1","260649","","false","0","INM251110296","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:6oUjTUXLqbNx9LXG0bwt9y","Oru Vallam Ponnum","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:2JEjaa7hWhE1BbL3OcoeFR","M. G. Sreekumar, Sujatha","spotify:album:4j0amQHD4bJyjTglSewLo3","Minnaram (Original Motion Picture Soundtrack)","spotify:artist:19mRxazWORfgMb4capx2qQ","S.P.Venkitesh","2003-07-19","https://i.scdn.co/image/ab67616d0000b27357e76e24ba8fa1a047cc6ae6","1","6","303520","","false","2","INS320300968","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:03rHaQjm8yO41wggi7L8Ta","Chingarakinnaram","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","spotify:album:4j0amQHD4bJyjTglSewLo3","Minnaram (Original Motion Picture Soundtrack)","spotify:artist:19mRxazWORfgMb4capx2qQ","S.P.Venkitesh","2003-07-19","https://i.scdn.co/image/ab67616d0000b27357e76e24ba8fa1a047cc6ae6","1","1","272440","","false","3","INS320300963","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:5Qwy7nZ5JJw6bjzIULcT56","Orikkal Nee Chirichal (From ''Appu'')","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:2JEjaa7hWhE1BbL3OcoeFR","M. G. Sreekumar, Sujatha","spotify:album:2qMel8LZEybHed2B6DTIVf","Mohanlal Birthday Special","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2015-05-14","https://i.scdn.co/image/ab67616d0000b273c6164bce97609dafe1f4c2f2","1","1","304431","https://p.scdn.co/mp3-preview/1aa6357cb33d32139fb5046a811fbc54768f68e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","INM251517014","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:2HxJdIkjJSFbP9U52vJsmX","Sonare Sonare","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:1WepmduRy2BYvpDdmMFFOw","M. G. Sreekumar, S.Rameshan Nair","spotify:album:0USwnMPSrUzgaBV6DyMGlX","Punjabi House (Original Motion Picture Soundtrack)","spotify:artist:1EvTAKGpcJx8wtvppR7p45, spotify:artist:1WepmduRy2BYvpDdmMFFOw","Suresh Peters, S.Rameshan Nair","1998","https://i.scdn.co/image/ab67616d0000b273e46823f8b1c8fcbc78b314dd","1","4","252528","https://p.scdn.co/mp3-preview/44d6031e8ca3e7a32d5bc22e8bfd464b1f4a0940?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","INE130300159","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:1imfrhWMeAJ34o38SGrqxK","Mathapoothiri","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:2IUtwMti1OiT3lkW6RubgH","M. G. Sreekumar, K. S. Chithra","spotify:album:4pORaCyVF6URtKRvoJk7EA","Devadoothan (Original Motion Picture Soundtrack)","spotify:artist:5TB837uKG65w8Jnz5D0bS5, spotify:artist:755XJ9EAGeezpOuX87TlbF","Vidyasagar, Kaithapram","2001-07-19","https://i.scdn.co/image/ab67616d0000b2732a3182f05aaa1410f804958f","1","4","282360","https://p.scdn.co/mp3-preview/af7fb11b6637d9b9bb9e6de9e25350dcc435a6b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","INS320100101","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:5890JCYDyJTqfRUIMalvSp","Makkasai Makkasai","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:2nRq7w36nwmBLiF7STXqIH","M. G. Sreekumar, Naadirsha","spotify:album:5JcA4TZmbycaT90qjmVNGv","Vettom","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-12-13","https://i.scdn.co/image/ab67616d0000b273efb54605240b78525b1e7461","1","7","289657","https://p.scdn.co/mp3-preview/94ad083290d8f908de36494c68e89af1bb06afc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","INS181205618","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:6ZTnLzbXNlgldTavqmvZbU","Sivadam Siva Naadam (Duet)","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:2IUtwMti1OiT3lkW6RubgH","M. G. Sreekumar, K. S. Chithra","spotify:album:2RVFAAF85xCWFdWW7Kaxl5","Mazhavillu","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-12-13","https://i.scdn.co/image/ab67616d0000b273037a18a1df314cc284c55027","1","5","365953","","false","0","INS181205162","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:6Xqlp3LhbrqKdlo2qbPvnV","Velmuruka","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","spotify:album:7LG8N36kgl8zWgarNSKIkp","Naran (Original Motion Picture Soundtrack)","spotify:artist:5xLhn0Pjced0oiBuLUISr3","Deepak Dev","2007-07-01","https://i.scdn.co/image/ab67616d0000b273cb2a53bcf80d3b2405337ac7","1","2","326000","https://p.scdn.co/mp3-preview/df66632978b5447c439758a729ca336761aec522?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","INM200700034","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:1TbD1nt4cVGRL2hxp9C4hD","Pon Veene (From ''Thaalavatam'')","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:2IUtwMti1OiT3lkW6RubgH","M. G. Sreekumar, K. S. Chithra","spotify:album:6NYGuHR3iA58s2p2YMkmj3","M. G. Sreekumar Birthday Special","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","2015-05-15","https://i.scdn.co/image/ab67616d0000b2732625df944ad1d01ab6bdd816","1","1","290795","https://p.scdn.co/mp3-preview/a5d5b36e0623b4410da7bfd956b8b93b81a22cbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","INM251517064","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:5FRFGl9pT2D163dZMNagPN","Padam Vanamali","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:2IUtwMti1OiT3lkW6RubgH","M. G. Sreekumar, K. S. Chithra","spotify:album:3lFI1ZN3uZq4BvbEyN7sTO","Kakkakuyil (Original Motion Picture Soundrack)","spotify:artist:3bsXF6ry8hOM2s1YyruPOb","Deepan Chaterjee","2014-05-23","https://i.scdn.co/image/ab67616d0000b2732f5645a6bbf599269c4e6115","1","2","321387","https://p.scdn.co/mp3-preview/0e0e5d0167fa072a4ebbff2a9091df41d34837f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","INE130300033","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:5dRX478PkFIy0lj35PfNXz","Pichakappoomkavukal","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","spotify:album:5jC4qXwKLT3iulGwMiMYxR","No: 20 Madras Mail","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","2012-12-13","https://i.scdn.co/image/ab67616d0000b2734578077ae7e3d7cd26b5b00a","1","1","219161","","false","0","INS181205648","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:05VW0zc0acD60f4TYyRmZl","Paadam Pootha - Male Version","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","spotify:album:1uzWRr33Gtl93mmEKf7nAj","Chithram (Original Motion Picture Soundtrack)","spotify:artist:1OmFIMcyc0IrjWXKIbT76Y","Kannur Rajan","2008-07-20","https://i.scdn.co/image/ab67616d0000b273b28533e6e971f38a3d7cd9da","1","2","235026","https://p.scdn.co/mp3-preview/529edf2067cb58838ce8fd5c6a2da0ea7c6c125b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","INS320802322","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:0KyFiyczcR5duhSh80HrAf","Earnmegam","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","spotify:album:1uzWRr33Gtl93mmEKf7nAj","Chithram (Original Motion Picture Soundtrack)","spotify:artist:1OmFIMcyc0IrjWXKIbT76Y","Kannur Rajan","2008-07-20","https://i.scdn.co/image/ab67616d0000b273b28533e6e971f38a3d7cd9da","1","1","271666","","false","4","INS320802321","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:1IpB3bVaqu9QMQLGcYCJfQ","Nagumo","spotify:artist:1AXZ0HA4aO90PXCPcIfGoB, spotify:artist:3wjaprBWmoSJn4KP9tgkxt","Neyyatinkara Vasudevan, M. G. Sreekumar","spotify:album:1uzWRr33Gtl93mmEKf7nAj","Chithram (Original Motion Picture Soundtrack)","spotify:artist:1OmFIMcyc0IrjWXKIbT76Y","Kannur Rajan","2008-07-20","https://i.scdn.co/image/ab67616d0000b273b28533e6e971f38a3d7cd9da","1","3","395293","https://p.scdn.co/mp3-preview/a902b784942e966447d9379d0b0be765f9e604e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","INS320802323","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:4qlEZlAFpYEJcnSKbm5TaP","Doore Kizhakudhikkum","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:2JEjaa7hWhE1BbL3OcoeFR","M. G. Sreekumar, Sujatha","spotify:album:1uzWRr33Gtl93mmEKf7nAj","Chithram (Original Motion Picture Soundtrack)","spotify:artist:1OmFIMcyc0IrjWXKIbT76Y","Kannur Rajan","2008-07-20","https://i.scdn.co/image/ab67616d0000b273b28533e6e971f38a3d7cd9da","1","4","227546","https://p.scdn.co/mp3-preview/8da8d97d2ff25844ac7d16818ea43af72c71ed2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","INS320802324","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:3rGpj07xUfTtTKD6bNxRog","Swaminadhapari","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","spotify:album:1uzWRr33Gtl93mmEKf7nAj","Chithram (Original Motion Picture Soundtrack)","spotify:artist:1OmFIMcyc0IrjWXKIbT76Y","Kannur Rajan","2008-07-20","https://i.scdn.co/image/ab67616d0000b273b28533e6e971f38a3d7cd9da","1","7","266600","","false","0","INS320802327","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:2LErw7L44ERXIwtYvHJBf6","Maarivillinmel - Male Version","spotify:artist:5TB837uKG65w8Jnz5D0bS5","Vidyasagar","spotify:album:615IDDsbGJUPjS6cjG1F2j","Evergreen Malayalam Hits, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2019-08-03","https://i.scdn.co/image/ab67616d0000b2739be1ac3317d6841e5ae49f1c","1","10","332800","","false","0","INS320300630","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:5Jxmt3bd6tNd7Y1mfmbDwA","Allikalil - Male Version","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","spotify:album:6PJlk1GKJLCKWcTnGC3g7b","Praja (Original Motion Picture Soundtrack)","spotify:artist:5L0RbvV13JHcxpbO7LxVAp","M. G. Radhakrishnan","2001-07-19","https://i.scdn.co/image/ab67616d0000b273054a7aacd58682b71b14a56a","1","1","310160","","false","0","INS320903585","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:15MnZnwK8FWNxmRbvxkqRH","Akaleyanengilum","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","spotify:album:6PJlk1GKJLCKWcTnGC3g7b","Praja (Original Motion Picture Soundtrack)","spotify:artist:5L0RbvV13JHcxpbO7LxVAp","M. G. Radhakrishnan","2001-07-19","https://i.scdn.co/image/ab67616d0000b273054a7aacd58682b71b14a56a","1","5","318386","","false","0","INS320903589","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:0bxiJxNBaWWU9rhx15Vk9C","Kannaare Kannaare","spotify:artist:0giF9C083qpTzttpE805xG","K. S. Chithra\,M.G. Sreekumar","spotify:album:6hmJ7K5fwmYkQWcSZSmzID","Rakshasa Rajavu (Original Motion Picture Soundtrack)","spotify:artist:5rjfY6hKjlZRId1W3Hatab","Mohan Sithara","2019-05-22","https://i.scdn.co/image/ab67616d0000b273f71003ce5e3f6f985cc0f780","1","3","275539","https://p.scdn.co/mp3-preview/b7c61b868f9a66814deed35d7868fb855d9ac8ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","IND291817619","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:2MEUYdngQe4xg9UrRUGfr4","Pinakkamano Eannodu","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:1jtuCB1QvOAOiyXxqxBeOz","M. G. Sreekumar, Manjari","spotify:album:4NH2FZeAaX5jfJbZPa4o2F","Ananthabhadram (Original Motion Picture Soundtrack)","spotify:artist:5L0RbvV13JHcxpbO7LxVAp","M. G. Radhakrishnan","2005-03-23","https://i.scdn.co/image/ab67616d0000b273c459fded2fedcad6ad011afa","1","3","275506","","false","0","INS320501417","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:1HtA2Bgbwomwo24iVhe2Ud","Maliniyude Theerangal","spotify:artist:3wjaprBWmoSJn4KP9tgkxt, spotify:artist:2JEjaa7hWhE1BbL3OcoeFR","M. G. Sreekumar, Sujatha","spotify:album:3WzZ11wRKuuptP7u8uOQl7","Gandharvam","spotify:artist:5qmCA012x0phMiytouYPqt","S. P. Venkatesh","2014-08-01","https://i.scdn.co/image/ab67616d0000b2738f8f34c9fef4cba34aa51ad8","1","5","262556","https://p.scdn.co/mp3-preview/679f0faf2ab83dd8ff6b88ea55a57808d79380db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","INS181407244","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
"spotify:track:1tTRkpGNwy2sZ2RghBLmQK","Doore Mamarakkombil (M)","spotify:artist:3wjaprBWmoSJn4KP9tgkxt","M. G. Sreekumar","spotify:album:6tBLK2glzXWwHeLfJCvNGm","Varnappakittu","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-12-13","https://i.scdn.co/image/ab67616d0000b2735b29f43c8c0925aa9d2ab42f","1","4","276143","","false","0","INS181205594","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2023-06-12T02:04:00Z"
