"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:05EpQNTKhOlX6NBI5h8RPJ","Dhurooha Manthahasame - From ""Sookshmadarshini""","spotify:artist:3COuDGy2RmxZvq16WMZpSn, spotify:artist:3CPdmmOFd8yq1zXHn28UsH, spotify:artist:6XaKvCWc54LHjReFGiQBDm","Christo Xavier, Ahi Ajayan, Mu.Ri","spotify:album:39Ffgbe1WFfcZLd0wXDEmg","Dhurooha Manthahasame (From ""Sookshmadarshini"")","spotify:artist:3COuDGy2RmxZvq16WMZpSn, spotify:artist:3CPdmmOFd8yq1zXHn28UsH, spotify:artist:6XaKvCWc54LHjReFGiQBDm","Christo Xavier, Ahi Ajayan, Mu.Ri","2024-11-10","https://i.scdn.co/image/ab67616d0000b2734e64ee55cf0a7fe7a87dbad0","1","1","212794","https://p.scdn.co/mp3-preview/1fd75ae45d98aaf47b952ce8f0efd9cbee75d3b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","INT202405054","spotify:user:12150123627","2024-11-13T08:19:13Z"
"spotify:track:3ISVxEn74F0nBrO7vEnou8","Sthuthi (From ""Bougainvillea"")","spotify:artist:1qFp8zDvsXyCsC5dqz8X4S, spotify:artist:5Nd0pl530GmwyCK1lRGQqd, spotify:artist:51jfCC7m2rTGPDz06E2nvS","Sushin Shyam, Mary Ann Alexander, Vinayak Sasikumar","spotify:album:0JaTVWR0wj2Ri1LcpiwE4s","Sthuthi (From ""Bougainvillea"")","spotify:artist:1qFp8zDvsXyCsC5dqz8X4S, spotify:artist:5Nd0pl530GmwyCK1lRGQqd, spotify:artist:51jfCC7m2rTGPDz06E2nvS","Sushin Shyam, Mary Ann Alexander, Vinayak Sasikumar","2024-09-26","https://i.scdn.co/image/ab67616d0000b273a4753613d58e30356535d820","1","1","179236","https://p.scdn.co/mp3-preview/dfa9f343fbbe424815d24a7193d4316f64f29ccc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","INS172410071","spotify:user:12150123627","2024-10-21T10:41:05Z"
"spotify:track:1L5XqRN05xrCTBryUyXCKJ","Eru (From ""Pallotty 90's Kids"")","spotify:artist:0DBXdapluRDfEm5NP4USwN, spotify:artist:1UdxOgYQUoqyicjFchvzH4, spotify:artist:1d3zWx1pD19ZF60KcVUPYv","Manikandan Ayyappa, Elizabath, Suhail Koya","spotify:album:6ljqKpzy3c9JeoOtrFvM7k","Eru (From ""Pallotty 90's Kids"")","spotify:artist:0DBXdapluRDfEm5NP4USwN, spotify:artist:1UdxOgYQUoqyicjFchvzH4, spotify:artist:1d3zWx1pD19ZF60KcVUPYv","Manikandan Ayyappa, Elizabath, Suhail Koya","2024-10-29","https://i.scdn.co/image/ab67616d0000b27305fd4abc2137657c977d0697","1","1","109277","https://p.scdn.co/mp3-preview/5fc4bbcec75ba1cdd829077aee9770d3588f85c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","INH102413211","spotify:user:12150123627","2024-11-07T10:52:10Z"
"spotify:track:196MbL55MY2e8Hmk7vOMLk","Devathaaru Poothu (From ""Kadha Innuvare"")","spotify:artist:3rGuJQSYUjpHjWVhE1NgdQ, spotify:artist:7w7JsEht5xieUuMnFgLNZ1, spotify:artist:7mMPf7FGKas94aVe7CpwnF","Shyam, Ashwin Aryan, Deepthi Das","spotify:album:5q1J7nKTiJgpcxHvx7Z4lT","Devathaaru Poothu (From ""Kadha Innuvare"")","spotify:artist:3rGuJQSYUjpHjWVhE1NgdQ, spotify:artist:7w7JsEht5xieUuMnFgLNZ1, spotify:artist:7mMPf7FGKas94aVe7CpwnF","Shyam, Ashwin Aryan, Deepthi Das","2024-10-18","https://i.scdn.co/image/ab67616d0000b27302af843d108f571df472da09","1","1","114369","https://p.scdn.co/mp3-preview/9db82dfd9b69eec68e14a3d6ec7b59e7745a851d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","INH102412469","spotify:user:12150123627","2024-10-30T11:00:11Z"
"spotify:track:0xpeiTGSEchBhqrjDuIcSS","Angu Vaana Konilu - From ""ARM""","spotify:artist:1QHr8p3h0ayWLaaYK0X6bi, spotify:artist:1tsy6ph4p6fVETd32Cbpcb, spotify:artist:2Ac7n5L5b7LMXonUHZRrWy","Dhibu Ninan Thomas, Vaikom Vijayalakshmi, Manu Manjith","spotify:album:5lM0AnBxOAUfK5TrBstfzp","Angu Vaana Konilu (From ""ARM"")","spotify:artist:1QHr8p3h0ayWLaaYK0X6bi, spotify:artist:1tsy6ph4p6fVETd32Cbpcb, spotify:artist:2Ac7n5L5b7LMXonUHZRrWy","Dhibu Ninan Thomas, Vaikom Vijayalakshmi, Manu Manjith","2024-09-14","https://i.scdn.co/image/ab67616d0000b2738797d4cdfac9e2f983e9eb69","1","1","249000","https://p.scdn.co/mp3-preview/72f2df9ad8a857f4d998f7797c5fed15612b1875?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","INT202404917","spotify:user:12150123627","2024-10-29T17:10:11Z"
"spotify:track:3K8t6RzlYZSCkVjI3kczzD","Eyy Banane","spotify:artist:6S9pxoEBK0Mczr3qE8H0GX, spotify:artist:51jfCC7m2rTGPDz06E2nvS","electronic kili, Vinayak Sasikumar","spotify:album:5o8BwHw4pg8DZZzKGJocJx","Vaazha (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2024-08-14","https://i.scdn.co/image/ab67616d0000b27308ec59b2157bff530072c42c","1","5","270375","https://p.scdn.co/mp3-preview/aff4708fe3ba30dd46cfb262b5102d8a01989ff9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","INT202404887","spotify:user:12150123627","2024-10-29T17:10:21Z"
"spotify:track:0hgyA9Q7nlA7Q5htWAlxWl","Family Song (From ""Pani"")","spotify:artist:5VAyiDhBinVfc6RM5RKnLa, spotify:artist:7zAp0JbkavFg2rcMGvANtP, spotify:artist:6ccDjsU6h03TcrKOvBeiu2","Sam C.S., Shakthisree Gopalan, Anwar Ali","spotify:album:71gIvfF26bdro8UDIWurgz","Family Song (From ""Pani"")","spotify:artist:5VAyiDhBinVfc6RM5RKnLa, spotify:artist:7zAp0JbkavFg2rcMGvANtP, spotify:artist:6ccDjsU6h03TcrKOvBeiu2","Sam C.S., Shakthisree Gopalan, Anwar Ali","2024-11-06","https://i.scdn.co/image/ab67616d0000b2736a44bb1780601d4384469a36","1","1","129776","https://p.scdn.co/mp3-preview/37032ac0e81b55982eb78585b37a36e7812841d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","INA982400205","spotify:user:12150123627","2024-11-07T10:56:25Z"
"spotify:track:0cD1UUXbT8HuHo1BmoomVG","Ven Chandrike","spotify:artist:3hmaYZ6q0ZWzdbpz8B5kZE, spotify:artist:0LSPREIgGMZXCuKVel7LVD","Sankar Sharma, Karthik","spotify:album:1Iq9PFNLRHBSgRelFUIodR","Gaganachari (Original Motion Picture Soundtrack)","spotify:artist:3hmaYZ6q0ZWzdbpz8B5kZE","Sankar Sharma","2024-06-14","https://i.scdn.co/image/ab67616d0000b2736bcef46512f567fe52346487","1","4","175600","https://p.scdn.co/mp3-preview/200c357e2896c4bb80fefd45246d9cf9fa68a69a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","INT202404689","spotify:user:12150123627","2024-07-02T16:48:04Z"
"spotify:track:4n11VBs81bd3uaPmONp9Wz","Vatteppam (From ""Mandakini"")","spotify:artist:2JJKoRrK7Eec7jlcjFB7sc, spotify:artist:2r4835RasDrA3mvrZqYv1S, spotify:artist:3MEt4mrI4ZktNe7YxaQMVx","Dabzee, Bibin Ashok, Vaisakh Sugunan","spotify:album:1oxKRhAJo48T6Kp5XMgfzg","Vatteppam (From ""Mandakini"")","spotify:artist:2JJKoRrK7Eec7jlcjFB7sc, spotify:artist:2r4835RasDrA3mvrZqYv1S, spotify:artist:3MEt4mrI4ZktNe7YxaQMVx","Dabzee, Bibin Ashok, Vaisakh Sugunan","2024-05-10","https://i.scdn.co/image/ab67616d0000b2739d692e6cbce68c88c0a54490","1","1","192500","https://p.scdn.co/mp3-preview/7a5e7935324c39c30154c113582bb8388f559762?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","INH102407037","spotify:user:jbalagop","2024-07-12T11:53:52Z"
"spotify:track:5ev5pWLaCzM6LaO9bVr7Vb","K For Krishna (From ""Guruvayoorambala Nadayil"")","spotify:artist:42d9KSmYSpFPoeIcEaQYpz, spotify:artist:51jfCC7m2rTGPDz06E2nvS, spotify:artist:4b1Ua3aYPP6ppvnqZdOHjV","Aju Varghese, Vinayak Sasikumar, Ankit Menon","spotify:album:5W6liWX1ahfg1oOOk3JlBy","K For Krishna (From ""Guruvayoorambala Nadayil"")","spotify:artist:42d9KSmYSpFPoeIcEaQYpz, spotify:artist:51jfCC7m2rTGPDz06E2nvS, spotify:artist:4b1Ua3aYPP6ppvnqZdOHjV","Aju Varghese, Vinayak Sasikumar, Ankit Menon","2024-05-05","https://i.scdn.co/image/ab67616d0000b2735bd50cd18c9da9a3e7876912","1","1","183818","https://p.scdn.co/mp3-preview/b4e044d73dc6e399abd9e45636e9a6c11e30d094?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","INH102406928","spotify:user:12150123627","2024-07-06T08:19:22Z"
