"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5stPdVFNnyEahYLpWs2akd","Flower duet from Lakme - Remasterisé en 1987","spotify:artist:1M9AXZkNPdOd1IPEsQsXnT, spotify:artist:2McoqlcabRGmT70Kzy6Do3, spotify:artist:1si28H9i9TTcRuxJsCxw9s","Léo Delibes, Orchestre Du Théatre National De L'Opéra Comique - Alain Lombard - Mady Mesple - Danielle Millet, Alain Lombard","spotify:album:5gGoL7HQZvclBKLMGPrByW","Classical Chillout","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-04-27","https://i.scdn.co/image/ab67616d0000b2733d0e7ae412f97822bbebdacb","1","9","210720","https://p.scdn.co/mp3-preview/65ccb57d74645a543f3d9428f887b13b79524ee8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FRZ118703231","spotify:user:12124798592","2018-05-23T18:53:04Z"
"spotify:track:3jQa7pofP3CHRTt4Xnoyt6","La Traviata / Act 1: ""Libiamo ne'lieti calici""","spotify:artist:1JOQXgYdQV2yfrhewqx96o, spotify:artist:3ArbrVTsYfUVK7hNaXl6z1, spotify:artist:4pU3BpenOZFEBzORx2YBJW, spotify:artist:2WQOMWyQxqfd96VyU943Tx, spotify:artist:3ZXZN86zspTIIkwbzlkDwf, spotify:artist:6aL4ovuNuBg7rmrPjOTIUN","Giuseppe Verdi, Ileana Cotrubas, Plácido Domingo, Chor der Bayerischen Staatsoper München, Bavarian State Orchestra, Carlos Kleiber","spotify:album:4oqJ13EemIRGsK7u5JIJef","Verdi: La Traviata","spotify:artist:1JOQXgYdQV2yfrhewqx96o, spotify:artist:3ArbrVTsYfUVK7hNaXl6z1, spotify:artist:4pU3BpenOZFEBzORx2YBJW, spotify:artist:4zTQCQMH3wRdBorYb0xGCa, spotify:artist:3ZXZN86zspTIIkwbzlkDwf, spotify:artist:6aL4ovuNuBg7rmrPjOTIUN","Giuseppe Verdi, Ileana Cotrubas, Plácido Domingo, Sherrill Milnes, Bavarian State Orchestra, Carlos Kleiber","1977-01-01","https://i.scdn.co/image/ab67616d0000b273e72259ba03db3488a5f90201","1","3","175506","","false","0","DEF057730030","spotify:user:12124798592","2018-05-23T18:59:08Z"
"spotify:track:3IkXyBgFOtXOGLbKs7O9mb","""La donna è mobile""","spotify:artist:1JOQXgYdQV2yfrhewqx96o, spotify:artist:0Y8KmFkKOgJybpVobn1onU, spotify:artist:5yxyJsFanEAuwSM5kOuZKc, spotify:artist:6JAPOSeaWl61UBRKZYgAeZ","Giuseppe Verdi, Luciano Pavarotti, London Symphony Orchestra, Richard Bonynge","spotify:album:6L7McXYWeIKeA3TO4F0MYT","Pavarotti Forever (2 CDs)","spotify:artist:0Y8KmFkKOgJybpVobn1onU","Luciano Pavarotti","1997-01-01","https://i.scdn.co/image/ab67616d0000b273857397d88a1f6d845f9c23e6","1","12","142173","","false","0","GBF077130101","spotify:user:12124798592","2018-05-23T19:06:26Z"
"spotify:track:6ftgHwEGF04FiuZQwUH40l","O Mio Babbino Caro","spotify:artist:0bjdfjE8XbLa2Odstu6E1E","Maria Callas","spotify:album:4Hr1N639RDkoGvqQYhhB7B","Diva","spotify:artist:0bjdfjE8XbLa2Odstu6E1E","Maria Callas","2010-04-23","https://i.scdn.co/image/ab67616d0000b273835701656a6611b7b1940fa5","1","9","138133","https://p.scdn.co/mp3-preview/f28839bd7db91b4337f0faa8a024fa2704e7b5c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLG620428904","spotify:user:12124798592","2018-05-23T19:12:51Z"
"spotify:track:1lajT6h1lRPMgSghJTm0py","""Nessun dorma!""","spotify:artist:0OzxPXyowUEQ532c9AmHUR, spotify:artist:0Y8KmFkKOgJybpVobn1onU, spotify:artist:1c0LUqvKTiWVsdrIn4LTZz, spotify:artist:3Al8lu5X4j3QY40s4OIawp, spotify:artist:3PfJE6ebCbCHeuqO4BfNeA, spotify:artist:3FEd0qHPFOgcpfw7bCXB4x","Giacomo Puccini, Luciano Pavarotti, John Alldis Choir, Wandsworth School Boys Choir, London Philharmonic Orchestra, Zubin Mehta","spotify:album:6L7McXYWeIKeA3TO4F0MYT","Pavarotti Forever (2 CDs)","spotify:artist:0Y8KmFkKOgJybpVobn1onU","Luciano Pavarotti","1997-01-01","https://i.scdn.co/image/ab67616d0000b273857397d88a1f6d845f9c23e6","1","1","177333","","false","0","GBF077230201","spotify:user:12124798592","2018-05-23T19:21:38Z"
"spotify:track:5Slzl3sdRsENIUvPfB8uV8","Habanera (From “Carmen”, WD. 31)","spotify:artist:2D7RkvtKKb6E5UmbjQM1Jd, spotify:artist:6dkXCmyrSrQteo0gwOGzFl, spotify:artist:7p8nXnxNetJVVyQ4OOWVlO, spotify:artist:7mC0zQ4J4cJPNGYFlmiQVC","Georges Bizet, Katherine Jenkins, The Arcadian Ensemble, James Morgan","spotify:album:6nHo0NmouXkPnsq0Wvx7zU","Katherine Jenkins / Premiere","spotify:artist:6dkXCmyrSrQteo0gwOGzFl","Katherine Jenkins","2004-01-01","https://i.scdn.co/image/ab67616d0000b273d03cb9f63a9deaa2e991e05d","1","8","167746","","false","0","GBEKZ0300209","spotify:user:12124798592","2018-05-23T19:24:50Z"
"spotify:track:789eAxs1qddtZoRT6pjdQX","Così fan tutte, K. 588, Act I: Un'aura amorosa (Ferrando)","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:72G0MODfMxM5TGaoQtGbdP, spotify:artist:3fyr5uksidSlLzsUjRIz5A, spotify:artist:09KZU0NsS7jRa5p0SflmGY","Wolfgang Amadeus Mozart, Alfredo Kraus, Karl Böhm, Philharmonia Orchestra","spotify:album:30NAZWw7mFpIuVkV3QDP6v","O Sole Mio: Vocal Classical Music","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2019-02-01","https://i.scdn.co/image/ab67616d0000b273d40b9586a2a27909f53b2f0c","1","27","285093","https://p.scdn.co/mp3-preview/a1631ee22e2ec59486472f83e3d9869ba7e1f5b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GBAYC0001068","spotify:user:12124798592","2019-02-18T14:06:28Z"
"spotify:track:4aE95aFiLdGQWb4nQ7Ktut","Di Capua, Mazzucchi: 'O sole mio (Arr. Chiaramello for Tenor & Orchestra)","spotify:artist:2q0Rkp6Ud5XxPTCkCCdbYr, spotify:artist:4vHK0wAa73KIgQzxeowBbh, spotify:artist:0Y8KmFkKOgJybpVobn1onU, spotify:artist:2Ek1WGW7WeyDoxsZiu0AAd, spotify:artist:68GjvtnJaBEP7b6Qd8JDRg","Eduardo di Capua, Alfredo Mazzucchi, Luciano Pavarotti, National Philharmonic Orchestra, Giancarlo Chiaramello","spotify:album:4uqcr1BXoigCnQ9POw0YYP","Pavarotti Forever","spotify:artist:0Y8KmFkKOgJybpVobn1onU","Luciano Pavarotti","1997-01-01","https://i.scdn.co/image/ab67616d0000b273dbc6d22d333abfce6b58d665","2","1","202173","","false","41","GBF077900300","spotify:user:12124798592","2019-08-05T02:08:16Z"
"spotify:track:69EKwvg7nkdOO3RmeUMJZG","Puccini: Madama Butterfly, Act 2: ""Un bel dì vedremo"" (Butterfly)","spotify:artist:0OzxPXyowUEQ532c9AmHUR, spotify:artist:0bjdfjE8XbLa2Odstu6E1E, spotify:artist:5zCaQxjl110XTrm4LQ1CxY, spotify:artist:7JdPe4gzrYmbcko3FTav57","Giacomo Puccini, Maria Callas, Herbert von Karajan, Orchestra Del Teatro Alla Scala\, Milano","spotify:album:3Z0Z21WKrjAn8tBDGSDiKE","Puccini: Madama Butterfly (1955 - Karajan) - Callas Remastered","spotify:artist:0OzxPXyowUEQ532c9AmHUR, spotify:artist:0bjdfjE8XbLa2Odstu6E1E, spotify:artist:7JdPe4gzrYmbcko3FTav57, spotify:artist:5zCaQxjl110XTrm4LQ1CxY","Giacomo Puccini, Maria Callas, Orchestra Del Teatro Alla Scala\, Milano, Herbert von Karajan","1955","https://i.scdn.co/image/ab67616d0000b273057638c4690b538f0342a723","1","15","283934","https://p.scdn.co/mp3-preview/e189455366968384dad0eafda0e0161b07dc1c5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBAYC1400676","spotify:user:12124798592","2019-10-23T06:33:34Z"
"spotify:track:4UPPQcwiQJpmXYirbgicT9","Nabucco / Act III: Va, pensiero, sull'ali dorate","spotify:artist:1JOQXgYdQV2yfrhewqx96o, spotify:artist:4UH0f8KeI9GR9H403vxsNO, spotify:artist:3d1jQ9OG2p2PW3rzzTspDY, spotify:artist:2KvV4gawnuMNG74DgSAQ0n","Giuseppe Verdi, Orchester der Deutschen Oper Berlin, Giuseppe Sinopoli, Chor der Deutschen Oper Berlin","spotify:album:7wTcnAlGQbJC5vMfwdpdeK","Verdi: Nabucco","spotify:artist:1JOQXgYdQV2yfrhewqx96o, spotify:artist:4UH0f8KeI9GR9H403vxsNO, spotify:artist:3d1jQ9OG2p2PW3rzzTspDY","Giuseppe Verdi, Orchester der Deutschen Oper Berlin, Giuseppe Sinopoli","1983-01-01","https://i.scdn.co/image/ab67616d0000b2733ba2283d209df3471d19b835","2","13","234226","","false","47","DEF058230622","spotify:user:12124798592","2019-10-23T06:34:52Z"
