"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2tpWsVSb9UEmDRxAl1zhX1","Counting Stars","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:20lOt6G8MHv8ZO7ViOmiP7","Native","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2013-01-01","https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb","1","1","257265","","false","85","USUM71301306","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1zB4vmk8tFRmM9UULNzbLB","Thunder","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:33pt9HBdGlAbRGBHQgsZsU","Evolve","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2017-06-23","https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a","1","10","187146","","false","84","USUM71704167","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2J2Z1SkXYghSajLibnQHOa","Unstoppable","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","spotify:album:77jAfTh3KH9K2reMOmTgOh","This Is Acting","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","Sia","2016-01-29","https://i.scdn.co/image/ab67616d0000b27349e0134c686547c28b7c999f","1","5","217746","https://p.scdn.co/mp3-preview/99a07d00531c0053f55a46e94ed92b1560396754?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USRC11502934","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1p80LdxRV74UKvL8gnD7ky","Blank Space","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2QJmrSgbdM35R67eoGQo4j","1989","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2014-10-27","https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148","1","2","231826","","false","69","USCJY1431309","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3LlAyCYU26dvFZBDUIMb7a","Demons","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:6htgf3qv7vGcsdxLCDxKp8","Night Visions","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a","1","4","175200","","false","72","USUM71201071","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0V3wPSX9ygBnCm8psDIegu","Anti-Hero","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:151w1FgRZfnKZA9FEcg9Z3","Midnights","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2022-10-21","https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5","1","3","200690","","false","81","USUG12205736","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1dGr1c8CrMLDpV6mPbImSI","Lover","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:1NAmidJlEaVgA3MpcPFYGq","Lover","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2019-08-23","https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647","1","3","221306","","false","84","USUG11901473","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:54ipXppHLA8U4yqpOFTUhr","Bones","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:6yiXkzHvC0OTmhfDQOEWtS","Mercury - Acts 1 & 2","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2022-07-01","https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13","2","1","165264","","false","81","USUM72201759","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Dvkj6JhhA12EX05fT7y2e","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:5r36AJ6VOJtp00oxSkBZ5h","Harry's House","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2022-05-20","https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0","1","4","167303","https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USSM12200612","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7DSAEUvxU8FajXtRloy8M0","Flowers","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","spotify:album:5DvJgsMLbaR1HmAI6VhfcQ","Endless Summer Vacation","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","2023-08-18","https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5","1","1","200600","https://p.scdn.co/mp3-preview/5184d19d1b7fcc3e7c067e38af45a7cc80851440?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USSM12209777","spotify:user:","1970-01-01T00:00:00Z"
