"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki","Dancing With A Stranger (with Normani)","spotify:artist:2wY79sveU1sp5g7SokKOiI, spotify:artist:2cWZOOzeOm4WmBJRnD5R7I","Sam Smith, Normani","spotify:album:1V9oE8bVilClrk5naqyyvL","Dancing With A Stranger (with Normani)","spotify:artist:2wY79sveU1sp5g7SokKOiI, spotify:artist:2cWZOOzeOm4WmBJRnD5R7I","Sam Smith, Normani","2019-01-11","https://i.scdn.co/image/ab67616d0000b2733b52eca47232bedfbb5e9443","1","1","171029","","false","69","GBUM71807386","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2019-05-26T15:42:01Z"
"spotify:track:3qLBz3j26AHO2jBYUQWLA6","Woke Up Late (feat. Hailee Steinfeld)","spotify:artist:6S0IvKlvPMX1RtAYtVpUV8, spotify:artist:5p7f24Rk5HkUZsaS3BLG5F","Drax Project, Hailee Steinfeld","spotify:album:4orebNTJrv5qLKVBOunr1N","Woke Up Late (feat. Hailee Steinfeld)","spotify:artist:6S0IvKlvPMX1RtAYtVpUV8","Drax Project","2019-01-21","https://i.scdn.co/image/ab67616d0000b2733e1408d3d40d84c7f9963568","1","1","181859","https://p.scdn.co/mp3-preview/1840ede6fa18916995a228226a8e42420d9c625d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QMCE31801829","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2019-05-26T15:42:35Z"
"spotify:track:3HVWdVOQ0ZA45FuZGSfvns","I Don't Care (with Justin Bieber)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V, spotify:artist:1uNFoZAHBGtllmzznpCI3s","Ed Sheeran, Justin Bieber","spotify:album:5Nux7ozBJ5KJ02QYWwrneR","I Don't Care (with Justin Bieber)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V, spotify:artist:1uNFoZAHBGtllmzznpCI3s","Ed Sheeran, Justin Bieber","2019-05-10","https://i.scdn.co/image/ab67616d0000b27323d36bb2f358094e0271c472","1","1","219946","https://p.scdn.co/mp3-preview/03dbc7b6fcafda4f5c223036f0ca919f2b65da25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBAHS1900672","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2019-05-26T15:42:38Z"
"spotify:track:5HnAf2RIUvTmLfm75cVCQh","Body on My (feat. Brando, Pitbull & Nicky Jam)","spotify:artist:6t1gpxYbY8OlLA7D2RiikQ, spotify:artist:5uEeqYFuIChoWKy34jp8xE, spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:1SupJlEpv7RS2tPNRaHViT","Loud Luxury, Brando, Pitbull, Nicky Jam","spotify:album:7fWoHw48Kx3Wb3w43xzWHu","Body on My (feat. Brando, Pitbull & Nicky Jam)","spotify:artist:6t1gpxYbY8OlLA7D2RiikQ","Loud Luxury","2019-03-29","https://i.scdn.co/image/ab67616d0000b27360f86dbd941be67784266c78","1","1","192506","https://p.scdn.co/mp3-preview/9ff26098a26a64370807768ed64eda4c5f780195?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","NLF711902720","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2019-05-26T15:42:42Z"
"spotify:track:0DW2IvEdL1qOPgwuhZjzXu","Too Much","spotify:artist:6sFIWsNpZYqfjUpaCgueju","Carly Rae Jepsen","spotify:album:4AokGqTuwsYw5jvpku4Ljp","Dedicated","spotify:artist:6sFIWsNpZYqfjUpaCgueju","Carly Rae Jepsen","2019-05-17","https://i.scdn.co/image/ab67616d0000b2733fca496ee9e3ac152a26f6da","1","8","197101","https://p.scdn.co/mp3-preview/e7166340d53dedbccebc842f07a8c67fb4098bca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USUM71905111","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2019-05-26T15:42:44Z"
"spotify:track:543bCW2ruMPmxUBWirQ3MR","Cross Me (feat. Chance the Rapper & PnB Rock)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V, spotify:artist:1anyVhU62p31KFi8MEzkbf, spotify:artist:21WS9wngs9AqFckK7yYJPM","Ed Sheeran, Chance the Rapper, PnB Rock","spotify:album:5MKInakULmoBNApeB2ZB3A","Cross Me (feat. Chance the Rapper & PnB Rock)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V, spotify:artist:1anyVhU62p31KFi8MEzkbf, spotify:artist:21WS9wngs9AqFckK7yYJPM","Ed Sheeran, Chance the Rapper, PnB Rock","2019-05-24","https://i.scdn.co/image/ab67616d0000b273f1d4fe9b36aa7be708ea44ea","1","1","206186","https://p.scdn.co/mp3-preview/5426d001f5540bbcffa3bb7e96bc205aa09f9bad?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","GBAHS1900715","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2019-05-26T15:42:46Z"
"spotify:track:2wDL38wQrMzed4yNyXa8q2","Want You In My Room","spotify:artist:6sFIWsNpZYqfjUpaCgueju","Carly Rae Jepsen","spotify:album:4AokGqTuwsYw5jvpku4Ljp","Dedicated","spotify:artist:6sFIWsNpZYqfjUpaCgueju","Carly Rae Jepsen","2019-05-17","https://i.scdn.co/image/ab67616d0000b2733fca496ee9e3ac152a26f6da","1","4","166281","https://p.scdn.co/mp3-preview/b9cb33de022721df66a9f379a07987d939713555?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USUM71905107","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2019-05-26T15:42:49Z"
"spotify:track:4Sib57MmYGJzSvkW84jTwh","ME! (feat. Brendon Urie of Panic! At The Disco)","spotify:artist:06HL4z0CvFAxyc27GXpf02, spotify:artist:6eYFryfcEu3QSq59D62wZQ","Taylor Swift, Brendon Urie","spotify:album:0WGakTFs8cnggcYsHjIhgy","ME!","spotify:artist:06HL4z0CvFAxyc27GXpf02, spotify:artist:6eYFryfcEu3QSq59D62wZQ, spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Taylor Swift, Brendon Urie, Panic! At The Disco","2019-04-26","https://i.scdn.co/image/ab67616d0000b27351e4bcd72f4d8c30111f5a4b","1","1","193040","","false","0","USUG11901267","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2019-05-26T15:42:50Z"
"spotify:track:76ShHEYjKtTYpumD6mISNl","Sweet Little Lies","spotify:artist:5vBrKGOjN10BMwB0cJADj4","bülow","spotify:album:1RAujeeZfUbofVGJUJ0qb8","Crystalline","spotify:artist:5vBrKGOjN10BMwB0cJADj4","bülow","2019-04-05","https://i.scdn.co/image/ab67616d0000b2737619da2f72cb9e23f7f7b5ad","1","1","175053","","true","26","CAUM71800310","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2019-05-26T15:42:54Z"
"spotify:track:2Fxmhks0bxGSBdJ92vM42m","bad guy","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2019-03-29","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","1","2","194087","","false","81","USUM71900764","spotify:user:31ewjl4ebwxlaacwpcz5mnht4ani","2019-05-26T15:42:55Z"
