"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6MDTpYxPFL0wtFd0pjfKws","Rhythm Of Love","spotify:artist:1g1yxsNVPhMUl9GrMjEb2o","Plain White T's","spotify:album:4371FJEyPOmAcfcKlXurHW","Wonders Of The Younger","spotify:artist:1g1yxsNVPhMUl9GrMjEb2o","Plain White T's","2010-01-01","https://i.scdn.co/image/ab67616d0000b27382553135f696b573f09a9a7d","1","4","200200","","false","56","USHR11031263","spotify:user:316zrbekglcfpvxj43r4ugri6nai","2019-10-10T19:48:10Z"
"spotify:track:3jDdpx9PMlfMBS5tOBHFm9","Return of the Mack","spotify:artist:6V3F8MZrOKdT9fU686ybE9","Mark Morrison","spotify:album:6plavTFCGXv5vpy0jZVtOV","Return of the Mack","spotify:artist:6V3F8MZrOKdT9fU686ybE9","Mark Morrison","1996-04-22","https://i.scdn.co/image/ab67616d0000b27301841d493ec3808242042c0f","1","6","213093","https://p.scdn.co/mp3-preview/456989fb9b32c4525f0668676ad5067d20479b4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBAHT0200668","spotify:user:316zrbekglcfpvxj43r4ugri6nai","2019-10-19T18:52:55Z"
"spotify:track:5vuwXvQTpavYCgcPFnCMS4","Keeping Your Head Up","spotify:artist:2WX2uTcsvV5OnS0inACecP","Birdy","spotify:album:2uNFpEVey5RsxzTdoDmjiz","Beautiful Lies (Deluxe)","spotify:artist:2WX2uTcsvV5OnS0inACecP","Birdy","2016-03-25","https://i.scdn.co/image/ab67616d0000b273ceb1cccb864424fc5c2bc1e7","1","3","208395","https://p.scdn.co/mp3-preview/7b984416f0dbc756c4ef5e2d22c0235c4353db12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBAHS1500572","spotify:user:316zrbekglcfpvxj43r4ugri6nai","2019-10-19T19:06:03Z"
"spotify:track:7795WJLVKJoAyVoOtCWqXN","I'm Not The Only One","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:08jWgM4vSkTose4blKBWov","In The Lonely Hour","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2014-05-26","https://i.scdn.co/image/ab67616d0000b273b11bdc91cb9ac6b14f5c1dae","1","5","239316","","false","82","GBUM71308836","spotify:user:316zrbekglcfpvxj43r4ugri6nai","2019-10-20T02:17:38Z"
"spotify:track:77Y7tccX9Hx5iClDr39uy9","Hollywood's Bleeding","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:3KziODx7ieQTgYCVrS6nBv","Hollywood's Bleeding","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2019-09-06","https://i.scdn.co/image/ab67616d0000b273bbf401121625a31ba1a6a4bb","1","1","156266","","false","0","USUM71915730","spotify:user:316zrbekglcfpvxj43r4ugri6nai","2019-11-02T18:30:13Z"
"spotify:track:7LVHVU3tWfcxj5aiPFEW4Q","Fix You","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:4E7bV0pzG0LciBSWTszra6","X&Y","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2005-06-07","https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651","1","4","295533","https://p.scdn.co/mp3-preview/4ee64ea0fcfc1e6142d3b1e76464e95834fa87dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBAYE0500605","spotify:user:316zrbekglcfpvxj43r4ugri6nai","2019-11-02T18:44:12Z"
"spotify:track:45Egmo7icyopuzJN0oMEdk","Love Lies (with Normani)","spotify:artist:6LuN9FCkKOj5PcnpouEgny, spotify:artist:2cWZOOzeOm4WmBJRnD5R7I","Khalid, Normani","spotify:album:4CEAev7neETRdqBFtzA8B9","Love Lies (with Normani)","spotify:artist:6LuN9FCkKOj5PcnpouEgny, spotify:artist:2cWZOOzeOm4WmBJRnD5R7I","Khalid, Normani","2018-02-14","https://i.scdn.co/image/ab67616d0000b273dd7eaf261543814a6d715d67","1","1","201707","https://p.scdn.co/mp3-preview/aa4f4d0898af5fc2f40c3c3dd1c1a0ece80df384?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USRC11703646","spotify:user:316zrbekglcfpvxj43r4ugri6nai","2019-11-02T18:47:22Z"
"spotify:track:2ekn2ttSfGqwhhate0LSR0","New Rules","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:01sfgrNbnnPUEyz6GZYlt9","Dua Lipa (Deluxe)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2017-06-02","https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc","1","10","209320","https://p.scdn.co/mp3-preview/e4f2ca20fc8aea1eb592d613d7a4b4da6012eaa2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBAHT1600310","spotify:user:316zrbekglcfpvxj43r4ugri6nai","2019-11-02T18:58:38Z"
"spotify:track:7lGKEWMXVWWTt3X71Bv44I","Unsteady","spotify:artist:3NPpFNZtSTHheNBaWC82rB","X Ambassadors","spotify:album:7A8fZ2jjiu5heq7wNCutKN","VHS","spotify:artist:3NPpFNZtSTHheNBaWC82rB","X Ambassadors","2015-06-30","https://i.scdn.co/image/ab67616d0000b27352e8aa3275f7a3ee9c1e3628","1","4","193546","","false","73","USUM71400108","spotify:user:316zrbekglcfpvxj43r4ugri6nai","2019-11-09T22:40:08Z"
"spotify:track:41E05WhsNAOf396QYHnFSW","I Wanna Know","spotify:artist:5B8M0EkuUFr6fGN66BO8H8","Ernie Halter","spotify:album:1fvArybR5Lu1ShVdZKq3VX","Acoustic Throwback - Nineties Rhythm and Blues","spotify:artist:5B8M0EkuUFr6fGN66BO8H8","Ernie Halter","2015-09-09","https://i.scdn.co/image/ab67616d0000b27383ec7d7b674308a1913b465b","1","11","260000","https://p.scdn.co/mp3-preview/dbc89abd7660e7bf0debe2534883af6618d3f8a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","TCACH1586768","spotify:user:316zrbekglcfpvxj43r4ugri6nai","2019-11-10T03:41:33Z"
