"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1YZhg3Dy9TR92vwJWmHMhu","Rainmaker","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:3kSdpaKNuOJKrleojrrkQk","Ethnicity","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","2003-02-11","https://i.scdn.co/image/ab67616d0000b2730e0913f56e889e1d32eac963","1","4","336040","https://p.scdn.co/mp3-preview/921141308e5ad7ef2a997d1e62642190c632f246?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USVI20200320","spotify:user:dieportalba","2015-08-20T03:41:34Z"
"spotify:track:65wOQC5dkcxljEg0OIEDhm","Play Time","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:3kSdpaKNuOJKrleojrrkQk","Ethnicity","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","2003-02-11","https://i.scdn.co/image/ab67616d0000b2730e0913f56e889e1d32eac963","1","11","329600","https://p.scdn.co/mp3-preview/87570e30e9097011e34d117670944fd1b28e7e03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USVI20200327","spotify:user:dieportalba","2015-08-20T03:43:47Z"
"spotify:track:7iZpQOxHGUrzjXnXWrg2WW","Playing by Heart","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:3kSdpaKNuOJKrleojrrkQk","Ethnicity","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","2003-02-11","https://i.scdn.co/image/ab67616d0000b2730e0913f56e889e1d32eac963","1","6","278560","https://p.scdn.co/mp3-preview/6732092653c3c485b96ab3c68bccffda21d50654?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USVI20200322","spotify:user:dieportalba","2015-08-20T03:42:14Z"
"spotify:track:70dYRJuEaDCDTSm0p30shD","One Man's Dream","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:0RBSLWT0Fmm1dVYLXV2zG9","Ultimate Yanni","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","2003-01-21","https://i.scdn.co/image/ab67616d0000b273647a5655494df4501c6eb3aa","2","6","162333","https://p.scdn.co/mp3-preview/bbd7f077585908b8600f56e4ea0fc59a72c0ec9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USPM19301007","spotify:user:dieportalba","2015-08-20T03:46:41Z"
"spotify:track:7cGsO4QSXgoNMvBoROC53n","Desire","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:0RBSLWT0Fmm1dVYLXV2zG9","Ultimate Yanni","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","2003-01-21","https://i.scdn.co/image/ab67616d0000b273647a5655494df4501c6eb3aa","2","9","297760","https://p.scdn.co/mp3-preview/eb8a7f961ac6a35cace798b56f1284f49ebbd6a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USPM19201031","spotify:user:dieportalba","2015-08-20T03:46:50Z"
"spotify:track:2cZ8Ecibl7zQbIZXRqKXOT","Adagio In C Minor - Live","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:510Gi8bIMBItag9INL1dg5","Tribute","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","1997-01-01","https://i.scdn.co/image/ab67616d0000b273ad5675d39de5d6f2ed6654cf","1","2","231666","","false","0","USVI29700005","spotify:user:dieportalba","2015-08-20T03:47:02Z"
"spotify:track:0qxL6GVfQQeE34q4mqmzki","Dance With A Stranger - Live","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:510Gi8bIMBItag9INL1dg5","Tribute","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","1997-01-01","https://i.scdn.co/image/ab67616d0000b273ad5675d39de5d6f2ed6654cf","1","4","408906","https://p.scdn.co/mp3-preview/e58c5ad1e66d6cdb11221b7904cfcc636dc9e7e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USVI29700044","spotify:user:dieportalba","2015-08-20T03:47:08Z"
"spotify:track:7cFDObDRdkrgqrjMfhXWhP","Waltz In 7/8 - Live","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:510Gi8bIMBItag9INL1dg5","Tribute","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","1997-01-01","https://i.scdn.co/image/ab67616d0000b273ad5675d39de5d6f2ed6654cf","1","9","334866","https://p.scdn.co/mp3-preview/c6d03845f901f93d0b29f731aa82f17dc323a86a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USVI29700049","spotify:user:dieportalba","2015-08-20T03:47:23Z"
"spotify:track:5JKnWciaVcqBQba0yYqC45","Tribute - Live","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:510Gi8bIMBItag9INL1dg5","Tribute","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","1997-01-01","https://i.scdn.co/image/ab67616d0000b273ad5675d39de5d6f2ed6654cf","1","5","402333","https://p.scdn.co/mp3-preview/e9f0b8786c08b46335fc15e025bce3074239be2e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USVI29700045","spotify:user:dieportalba","2015-08-20T03:47:16Z"
"spotify:track:196JDWT1a5j1WbyAtDhXPl","For All Seasons","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","spotify:album:3kSdpaKNuOJKrleojrrkQk","Ethnicity","spotify:artist:72qxDp6R6v22pai96pZioz","Yanni","2003-02-11","https://i.scdn.co/image/ab67616d0000b2730e0913f56e889e1d32eac963","1","2","337666","https://p.scdn.co/mp3-preview/2a6b765d753d7b21c254c28b6fb285b7a161978b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USVI20200318","spotify:user:dieportalba","2015-08-20T03:41:19Z"
