"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7ne4VBA60CxGM75vw0EYad","That’s So True","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","spotify:album:0hBRqPYPXhr1RkTDG3n4Mk","The Secret of Us (Deluxe)","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","2024-10-18","https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf","1","15","166300","","true","93","USUG12406903","spotify:user:","2024-11-22T13:37:27Z"
"spotify:track:5vNRhkKd0yEAg8suGBpjeY","APT.","spotify:artist:3eVa5w3URK5duf6eyVDbu9, spotify:artist:0du5cEVh5yTK9QJze8zA0C","ROSÉ, Bruno Mars","spotify:album:2IYQwwgxgOIn7t3iF6ufFD","APT.","spotify:artist:3eVa5w3URK5duf6eyVDbu9, spotify:artist:0du5cEVh5yTK9QJze8zA0C","ROSÉ, Bruno Mars","2024-10-18","https://i.scdn.co/image/ab67616d0000b273f8c8297efc6022534f1357e1","1","1","169917","https://p.scdn.co/mp3-preview/6b7763066dd42d94dc893f12bb135d7d5392e386?cid=9950ac751e34487dbbe027c4fd7f8e99","false","98","USAT22409172","spotify:user:","2024-11-22T13:37:27Z"
"spotify:track:2plbrEY59IikOBgBGLjaoe","Die With A Smile","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:0du5cEVh5yTK9QJze8zA0C","Lady Gaga, Bruno Mars","spotify:album:10FLjwfpbxLmW8c25Xyc2N","Die With A Smile","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:0du5cEVh5yTK9QJze8zA0C","Lady Gaga, Bruno Mars","2024-08-16","https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45","1","1","251667","","false","100","USUM72409273","spotify:user:","2024-11-22T13:37:27Z"
"spotify:track:2262bWmqomIaJXwCRHr13j","Sailor Song","spotify:artist:1iCnM8foFssWlPRLfAbIwo","Gigi Perez","spotify:album:68CN2LzY8MoxO2udy2C22e","Sailor Song","spotify:artist:1iCnM8foFssWlPRLfAbIwo","Gigi Perez","2024-07-26","https://i.scdn.co/image/ab67616d0000b273e6065f209e0a01986206bd53","1","1","211978","","false","93","USHM92438095","spotify:user:","2024-11-22T13:37:27Z"
"spotify:track:1Es7AUAhQvapIcoh3qMKDL","Timeless (with Playboi Carti)","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:699OTQXzgjhIYAHMy9RyPD","The Weeknd, Playboi Carti","spotify:album:2IRxVVqbSbqHJo8Zx50LYn","Timeless","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:699OTQXzgjhIYAHMy9RyPD","The Weeknd, Playboi Carti","2024-09-27","https://i.scdn.co/image/ab67616d0000b27394f662ef3b5677376d8a78d4","1","1","256000","","true","92","USUG12406536","spotify:user:","2024-11-22T13:37:27Z"
"spotify:track:6dOtVTDdiauQNBQEDOtlAB","BIRDS OF A FEATHER","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:7aJuG4TFXa2hmE4z1yxc3n","HIT ME HARD AND SOFT","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2024-05-17","https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62","1","4","210373","","false","97","USUM72401994","spotify:user:","2024-11-22T13:37:27Z"
"spotify:track:5fZJQrFKWQLb7FpJXZ1g7K","A Bar Song (Tipsy)","spotify:artist:3y2cIKLjiOlp1Np37WiUdH","Shaboozey","spotify:album:0DLvFVIfwt3OHdK9kGeEM3","Where I've Been, Isn't Where I'm Going","spotify:artist:3y2cIKLjiOlp1Np37WiUdH","Shaboozey","2024-05-31","https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a","1","2","171291","https://p.scdn.co/mp3-preview/0c6b7caa5c2962837d1122d45d8b9fe70bec29c0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUYG1541249","spotify:user:","2024-11-22T13:37:27Z"
"spotify:track:5G2f63n7IPVPPjfNIGih7Q","Taste","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","spotify:album:3iPSVi54hsacKKl1xIR2eH","Short n' Sweet","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","2024-08-23","https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626","1","1","157279","","false","93","USUM72404100","spotify:user:","2024-11-22T13:37:27Z"
"spotify:track:51rfRCiUSvxXlCSCfIztBy","I Love You, I'm Sorry","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","spotify:album:56bdWeO40o3WfAD2Lja4dl","The Secret of Us","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","2024-06-21","https://i.scdn.co/image/ab67616d0000b2736e2101520787791370f4a96b","1","4","157146","","true","90","USUG12401766","spotify:user:","2024-11-22T13:37:27Z"
"spotify:track:0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ","Mariah Carey","spotify:album:61ulfFSmmxMhc2wCdmdMkN","Merry Christmas","spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ","Mariah Carey","1994-10-28","https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f","1","2","241106","https://p.scdn.co/mp3-preview/6b1557cd25d543940a3decd85a7bf2bc136c51f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USSM19400325","spotify:user:","2024-11-22T13:37:27Z"
