"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2plbrEY59IikOBgBGLjaoe","Die With A Smile","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:0du5cEVh5yTK9QJze8zA0C","Lady Gaga, Bruno Mars","spotify:album:10FLjwfpbxLmW8c25Xyc2N","Die With A Smile","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:0du5cEVh5yTK9QJze8zA0C","Lady Gaga, Bruno Mars","2024-08-16","https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45","1","1","251667","","false","100","USUM72409273","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:5vNRhkKd0yEAg8suGBpjeY","APT.","spotify:artist:3eVa5w3URK5duf6eyVDbu9, spotify:artist:0du5cEVh5yTK9QJze8zA0C","ROSÉ, Bruno Mars","spotify:album:2IYQwwgxgOIn7t3iF6ufFD","APT.","spotify:artist:3eVa5w3URK5duf6eyVDbu9, spotify:artist:0du5cEVh5yTK9QJze8zA0C","ROSÉ, Bruno Mars","2024-10-18","https://i.scdn.co/image/ab67616d0000b273f8c8297efc6022534f1357e1","1","1","169917","https://p.scdn.co/mp3-preview/6b7763066dd42d94dc893f12bb135d7d5392e386?cid=9950ac751e34487dbbe027c4fd7f8e99","false","98","USAT22409172","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:6dOtVTDdiauQNBQEDOtlAB","BIRDS OF A FEATHER","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:7aJuG4TFXa2hmE4z1yxc3n","HIT ME HARD AND SOFT","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2024-05-17","https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62","1","4","210373","","false","97","USUM72401994","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:7ne4VBA60CxGM75vw0EYad","That’s So True","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","spotify:album:0hBRqPYPXhr1RkTDG3n4Mk","The Secret of Us (Deluxe)","spotify:artist:4tuJ0bMpJh08umKkEXKUI5","Gracie Abrams","2024-10-18","https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf","1","15","166300","","true","93","USUG12406903","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Who","spotify:artist:1oSPZhvZMIrWW5I41kPkkY","Jimin","spotify:album:15XcLhiVMlSOipUddTNDnr","MUSE","spotify:artist:1oSPZhvZMIrWW5I41kPkkY","Jimin","2024-07-19","https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec","1","6","170887","https://p.scdn.co/mp3-preview/02687a01e9ec00f4e947f39e910c7e0c6fa83e10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","92","USA2P2431062","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:50zAEIE4B1QqhPjRMK2Xmh","Running Wild","spotify:artist:5vV3bFXnN6D6N3Nj4xRvaV","Jin","spotify:album:3nRmQ70bczWCLWyj1aRbt6","Happy - :') (Remixes)","spotify:artist:5vV3bFXnN6D6N3Nj4xRvaV","Jin","2024-11-19","https://i.scdn.co/image/ab67616d0000b27302dd46d1f82ce19b5927b269","1","1","151646","https://p.scdn.co/mp3-preview/3017b48112a4dae32b4bc12c9c33868779390103?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USA2P2461990","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:2262bWmqomIaJXwCRHr13j","Sailor Song","spotify:artist:1iCnM8foFssWlPRLfAbIwo","Gigi Perez","spotify:album:68CN2LzY8MoxO2udy2C22e","Sailor Song","spotify:artist:1iCnM8foFssWlPRLfAbIwo","Gigi Perez","2024-07-26","https://i.scdn.co/image/ab67616d0000b273e6065f209e0a01986206bd53","1","1","211978","","false","93","USHM92438095","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:5G2f63n7IPVPPjfNIGih7Q","Taste","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","spotify:album:3iPSVi54hsacKKl1xIR2eH","Short n' Sweet","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","2024-08-23","https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626","1","1","157279","","false","93","USUM72404100","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:1cOboCuWYI2osTOfolMRS6","Tu Boda","spotify:artist:3l9G1G9MxH6DaRhwLklaf5, spotify:artist:0ys2OFYzWYB5hRDLCsBqxt","Oscar Maydon, Fuerza Regida","spotify:album:60cQzWfmdg4hyDXrpW6kOA","Tu Boda","spotify:artist:3l9G1G9MxH6DaRhwLklaf5, spotify:artist:0ys2OFYzWYB5hRDLCsBqxt","Oscar Maydon, Fuerza Regida","2024-09-26","https://i.scdn.co/image/ab67616d0000b273b51d9a74d356d785cce9dea9","1","1","225880","https://p.scdn.co/mp3-preview/6612f9395f31bb118d7cd4b8ec87d8d473f43c2a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","93","QZ9QQ2400535","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","WILDFLOWER","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:7aJuG4TFXa2hmE4z1yxc3n","HIT ME HARD AND SOFT","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2024-05-17","https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62","1","5","261466","","false","93","USUM72401993","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Espresso","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","spotify:album:3iPSVi54hsacKKl1xIR2eH","Short n' Sweet","spotify:artist:74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter","2024-08-23","https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626","1","7","175459","","true","88","USUM72403305","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:1Es7AUAhQvapIcoh3qMKDL","Timeless (with Playboi Carti)","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:699OTQXzgjhIYAHMy9RyPD","The Weeknd, Playboi Carti","spotify:album:2IRxVVqbSbqHJo8Zx50LYn","Timeless","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:699OTQXzgjhIYAHMy9RyPD","The Weeknd, Playboi Carti","2024-09-27","https://i.scdn.co/image/ab67616d0000b27394f662ef3b5677376d8a78d4","1","1","256000","","true","92","USUG12406536","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Good Luck, Babe!","spotify:artist:7GlBOeep6PqTfFi59PTUUN","Chappell Roan","spotify:album:1WAjjRMfZjEXtB0lQrAw6Q","Good Luck, Babe!","spotify:artist:7GlBOeep6PqTfFi59PTUUN","Chappell Roan","2024-04-05","https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7","1","1","218423","","false","94","USUG12401967","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Qué Pasaría...","spotify:artist:1mcTU81TzQhprhouKaTkpq, spotify:artist:4q3ewBCX7sLwd24euuV69X","Rauw Alejandro, Bad Bunny","spotify:album:0aX0UXrHG2ceYIxTQcqJdA","Cosa Nuestra","spotify:artist:1mcTU81TzQhprhouKaTkpq","Rauw Alejandro","2024-11-15","https://i.scdn.co/image/ab67616d0000b273ed432d7df981360768dd5856","1","3","191018","https://p.scdn.co/mp3-preview/d3ce690c18d47b8029f90d45b4d8a53ab8642776?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USQX92404984","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ","Mariah Carey","spotify:album:61ulfFSmmxMhc2wCdmdMkN","Merry Christmas","spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ","Mariah Carey","1994-10-28","https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f","1","2","241106","https://p.scdn.co/mp3-preview/6b1557cd25d543940a3decd85a7bf2bc136c51f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USSM19400325","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:06qMRF18gwbOYYbnP2du6i","Last Christmas - Single Version","spotify:artist:5lpH0xAS4fVfLkACg9DAuM","Wham!","spotify:album:2wyHNTisH8PtZG8OG58xr6","The Singles: Echoes from the Edge of Heaven","spotify:artist:5lpH0xAS4fVfLkACg9DAuM","Wham!","2023-07-07","https://i.scdn.co/image/ab67616d0000b2734b68569ae3fdd6fcd0f98615","1","7","265960","https://p.scdn.co/mp3-preview/291b50b25994238d04761b50f08252f37c27c22c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBBBM8401283","spotify:user:","2024-11-22T13:37:26Z"
"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Beautiful Things","spotify:artist:22wbnEMDvgVIAGdFeek6ET","Benson Boone","spotify:album:168CdR21lfn0TTyw1Pkdcm","Fireworks & Rollerblades","spotify:artist:22wbnEMDvgVIAGdFeek6ET","Benson Boone","2024-04-05","https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40","1","4","180304","https://p.scdn.co/mp3-preview/e213f23e6fe5938299eebbe364d06c1682a6619f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","USWB12307016","spotify:user:","2024-11-22T13:37:26Z"
