"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0eCajpR75pDW0r64U6hP2x","Jo Tum Mere Ho","spotify:artist:4gdMJYnopf2nEUcanAwstx","Anuv Jain","spotify:album:0upenH0uUT36nBbVM5mQhW","Jo Tum Mere Ho","spotify:artist:4gdMJYnopf2nEUcanAwstx","Anuv Jain","2024-08-02","https://i.scdn.co/image/ab67616d0000b27372a77d038887cdc425f5ee55","1","1","251813","","false","84","INUM72400721","spotify:user:","2024-11-22T13:37:33Z"
"spotify:track:4vHRQnzGcKEtqsLH70tAms","Raanjhan (From ""Do Patti"")","spotify:artist:1SyKki7JI1AZNKwgNMkn25, spotify:artist:1E6arsXf5Fgsnv9YpSzjpE, spotify:artist:3GBSge8pq7mpezUQl0GAOA","Sachet-Parampara, Parampara Tandon, Kausar Munir","spotify:album:1poClftP5T3zRcqpsxPPfW","Raanjhan (From ""Do Patti"")","spotify:artist:1SyKki7JI1AZNKwgNMkn25, spotify:artist:1E6arsXf5Fgsnv9YpSzjpE, spotify:artist:3GBSge8pq7mpezUQl0GAOA","Sachet-Parampara, Parampara Tandon, Kausar Munir","2024-10-04","https://i.scdn.co/image/ab67616d0000b273773c5f60bcb309ef8802e4ef","1","1","240066","https://p.scdn.co/mp3-preview/bba91ce591d403fc437cf896feb0fa80f94d20f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","INS182402832","spotify:user:","2024-11-22T13:37:33Z"
"spotify:track:1hlbywc8Jhl1FFqJxAMabE","Ishq","spotify:artist:05etL4pzWd6TSv1x5WrlG3, spotify:artist:22UtphG4LcwxlhhV0aP4js, spotify:artist:6MPuzz9hPrs4TwxeHh4cEj","Faheem Abdullah, Rauhan Malik, Amir Ameer","spotify:album:013jUXOfDFXnDMBetTdsiH","Lost;Found","spotify:artist:05etL4pzWd6TSv1x5WrlG3","Faheem Abdullah","2024-05-25","https://i.scdn.co/image/ab67616d0000b2730de04fd2c7c3bdc0a1d765f5","1","9","224842","https://p.scdn.co/mp3-preview/c09d0eed5f995f7784edf47e3ac9556dabef212e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","FR96X2451081","spotify:user:","2024-11-22T13:37:33Z"
"spotify:track:4d2jV5fmX6hbRwaRbY39dt","Wavy","spotify:artist:6DARBhWbfcS9E4yJzcliqQ","Karan Aujla","spotify:album:5H5qWXVkPtu1TXb7sLfckt","Wavy","spotify:artist:6DARBhWbfcS9E4yJzcliqQ","Karan Aujla","2024-11-15","https://i.scdn.co/image/ab67616d0000b273e34f05599c4a42e1cbb1c251","1","1","161000","https://p.scdn.co/mp3-preview/4c1d227ee23983066c276f8b7ad74b3318c1f922?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","AUBEC2362614","spotify:user:","2024-11-22T13:37:33Z"
"spotify:track:78BWCd70D1X6LMkDZm1UoF","Millionaire","spotify:artist:7uIbLdzzSEqnX0Pkrb56cR","Yo Yo Honey Singh","spotify:album:5KF4xCxDD8ip003hoatFT9","GLORY","spotify:artist:7uIbLdzzSEqnX0Pkrb56cR","Yo Yo Honey Singh","2024-08-26","https://i.scdn.co/image/ab67616d0000b273aad3f4b601ae8763b3fc4e88","1","1","199114","https://p.scdn.co/mp3-preview/6cdc3a44c774d1bc832c03b5269000322340f6e5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","INS182402380","spotify:user:","2024-11-22T13:37:33Z"
"spotify:track:5zCnGtCl5Ac5zlFHXaZmhy","Sajni (From ""Laapataa Ladies"")","spotify:artist:3PpjqSKBer3obW6lDflOBx, spotify:artist:4YRxDV8wJFPHPTeXepOstw, spotify:artist:7vCsTTACb2iT4fvBMnwp5w","Ram Sampath, Arijit Singh, Prashant Pandey","spotify:album:3I3kZyHUtEA9Y59rJkxtk6","Sajni (From ""Laapataa Ladies"")","spotify:artist:3PpjqSKBer3obW6lDflOBx, spotify:artist:4YRxDV8wJFPHPTeXepOstw, spotify:artist:7vCsTTACb2iT4fvBMnwp5w","Ram Sampath, Arijit Singh, Prashant Pandey","2024-02-12","https://i.scdn.co/image/ab67616d0000b273d5f4378b1ffc9119fdc7306d","1","1","170044","https://p.scdn.co/mp3-preview/74556daea80817d8e2c167adc1d69ad030090846?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","INS182400369","spotify:user:","2024-11-22T13:37:33Z"
"spotify:track:1bxzr3JK05fMTcweGAZUHp","Chuttamalle (From ""Devara Part 1"")","spotify:artist:19LIHDDSHBD5NyYHI3gpzB, spotify:artist:4zCH9qm4R2DADamUHMCa6O, spotify:artist:4GISoVSxo2LkF5EyorXs9W","Shilpa Rao, Anirudh Ravichander, Ramajogayya Sastry","spotify:album:77bk7awXNSGEQkZTcTp2Gj","Chuttamalle (From ""Devara Part 1"")","spotify:artist:19LIHDDSHBD5NyYHI3gpzB, spotify:artist:4zCH9qm4R2DADamUHMCa6O, spotify:artist:4GISoVSxo2LkF5EyorXs9W","Shilpa Rao, Anirudh Ravichander, Ramajogayya Sastry","2024-08-05","https://i.scdn.co/image/ab67616d0000b2736d97b3dc154dfdbe2321fb5c","1","1","222063","https://p.scdn.co/mp3-preview/39b6be045cbde3ea6c10bf63c5194f8df2e167e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","INS182402313","spotify:user:","2024-11-22T13:37:33Z"
"spotify:track:1dFrZr9eMUsFqeag04ClqD","Russian Bandana","spotify:artist:2rN8LHqK4TBI7y3d9POvJb","Dhanda Nyoliwala","spotify:album:6CLIf42g7M6k0nE3vlcqud","Russian Bandana","spotify:artist:2rN8LHqK4TBI7y3d9POvJb","Dhanda Nyoliwala","2024-09-12","https://i.scdn.co/image/ab67616d0000b27346be2f6e9db95d3937772b8e","1","1","197142","","false","74","INUM72401063","spotify:user:","2024-11-22T13:37:33Z"
"spotify:track:0TL0LFcwIBF5eX7arDIKxY","Husn","spotify:artist:4gdMJYnopf2nEUcanAwstx","Anuv Jain","spotify:album:2SarxpD48O1DOiDIccyZ0W","Husn","spotify:artist:4gdMJYnopf2nEUcanAwstx","Anuv Jain","2023-12-01","https://i.scdn.co/image/ab67616d0000b2730d3449f333a83a25feb423f8","1","1","217894","","false","79","INUM72303081","spotify:user:","2024-11-22T13:37:33Z"
"spotify:track:7EFfeGN5U0zm9C6KpOeNBH","Aaj Ki Raat (From ""Stree 2"")","spotify:artist:1mBydYMVBECdDmMfE2sEUO, spotify:artist:2fMqTqiTxUDlmcOEPaQSsx, spotify:artist:4ojkMVHjuDZgDXSJy5qs2h, spotify:artist:0NErdIJtuKBjtxKmlqaWdj","Sachin-Jigar, Amitabh Bhattacharya, Madhubanti Bagchi, Divya Kumar","spotify:album:3UFJUJXBdfDRd2qRZ9ijyn","Aaj Ki Raat (From ""Stree 2"")","spotify:artist:1mBydYMVBECdDmMfE2sEUO, spotify:artist:2fMqTqiTxUDlmcOEPaQSsx","Sachin-Jigar, Amitabh Bhattacharya","2024-07-24","https://i.scdn.co/image/ab67616d0000b273b3c83a0d3204568b0535357c","1","1","228620","https://p.scdn.co/mp3-preview/0c8d73b496ceccd574081fe7c82b56d1339e89d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","INH102409256","spotify:user:","2024-11-22T13:37:33Z"
